"",BBK01.OEYM02I,BBK01.OEYM02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:37,
2002-01,0.358,
2002-04,0.325,
2002-07,0.299,
2002-10,0.312,
2003-01,0.504,
2003-04,0.553,
2003-07,0.525,
2003-10,0.576,
2004-01,0.492,
2004-04,0.560,
2004-07,0.587,
2004-10,0.524,
2005-01,0.714,
2005-04,0.798,
2005-07,0.798,
2005-10,0.788,
2006-01,0.654,
2006-04,0.954,
2006-07,0.707,
2006-10,0.705,
2007-01,0.474,
2007-04,0.381,
2007-07,0.737,
2007-10,1.001,
2008-01,0.362,
2008-04,0.554,
2008-07,0.310,
2008-10,0.678,
2009-01,0.507,
2009-04,0.380,
2009-07,0.477,
2009-10,0.503,
2010-01,0.719,
2010-04,0.607,
2010-07,0.485,
2010-10,0.951,
2011-01,0.641,
2011-04,1.578,
2011-07,1.713,
2011-10,0.683,
2012-01,0.489,
2012-04,1.742,
2012-07,1.244,
2012-10,1.049,
2013-01,1.653,
2013-04,2.602,
2013-07,1.435,
2013-10,1.166,
2014-01,1.066,
2014-04,1.585,
2014-07,1.637,
