"",BBK01.OEYI02M,BBK01.OEYI02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:43,
2002-01,5.610,
2002-04,5.958,
2002-07,5.146,
2002-10,5.501,
2003-01,5.479,
2003-04,5.787,
2003-07,5.894,
2003-10,6.389,
2004-01,5.004,
2004-04,5.097,
2004-07,5.694,
2004-10,5.308,
2005-01,5.552,
2005-04,5.365,
2005-07,5.401,
2005-10,6.267,
2006-01,5.627,
2006-04,5.480,
2006-07,5.619,
2006-10,6.298,
2007-01,6.736,
2007-04,6.488,
2007-07,6.937,
2007-10,6.470,
2008-01,6.726,
2008-04,7.828,
2008-07,6.343,
2008-10,8.949,
2009-01,8.752,
2009-04,8.036,
2009-07,9.503,
2009-10,9.476,
2010-01,8.229,
2010-04,12.603,
2010-07,9.644,
2010-10,9.778,
2011-01,9.455,
2011-04,10.684,
2011-07,10.874,
2011-10,10.348,
2012-01,11.506,
2012-04,12.148,
2012-07,12.421,
2012-10,12.563,
2013-01,12.394,
2013-04,13.386,
2013-07,10.995,
2013-10,11.739,
2014-01,13.448,
2014-04,11.926,
2014-07,13.887,
