"",BBK01.OEXB06G,BBK01.OEXB06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:54,
2002-01,8.305,
2002-04,9.399,
2002-07,8.981,
2002-10,8.934,
2003-01,8.726,
2003-04,9.473,
2003-07,10.088,
2003-10,10.322,
2004-01,9.659,
2004-04,8.801,
2004-07,8.985,
2004-10,9.851,
2005-01,6.930,
2005-04,6.904,
2005-07,2.790,
2005-10,2.831,
2006-01,2.667,
2006-04,2.781,
2006-07,2.755,
2006-10,2.827,
2007-01,2.773,
2007-04,2.736,
2007-07,2.790,
2007-10,3.024,
2008-01,3.679,
2008-04,3.744,
2008-07,3.910,
2008-10,3.845,
2009-01,4.132,
2009-04,4.328,
2009-07,3.991,
2009-10,3.889,
2010-01,3.538,
2010-04,3.637,
2010-07,3.560,
2010-10,3.641,
2011-01,3.348,
2011-04,3.726,
2011-07,3.638,
2011-10,3.517,
2012-01,3.224,
2012-04,3.334,
2012-07,3.440,
2012-10,4.041,
2013-01,3.706,
2013-04,3.815,
2013-07,4.090,
2013-10,3.834,
2014-01,4.058,
2014-04,4.364,
2014-07,4.474,
