"",BBK01.OELJ05G,BBK01.OELJ05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:43,
2002-01,2.058,
2002-04,2.026,
2002-07,2.029,
2002-10,2.050,
2003-01,2.038,
2003-04,1.994,
2003-07,1.951,
2003-10,1.889,
2004-01,1.863,
2004-04,1.834,
2004-07,1.851,
2004-10,1.909,
2005-01,1.986,
2005-04,2.110,
2005-07,2.097,
2005-10,2.152,
2006-01,2.172,
2006-04,2.187,
2006-07,2.288,
2006-10,2.278,
2007-01,2.278,
2007-04,2.265,
2007-07,2.313,
2007-10,2.331,
2008-01,2.344,
2008-04,2.329,
2008-07,2.341,
2008-10,2.300,
2009-01,2.241,
2009-04,2.223,
2009-07,2.191,
2009-10,2.146,
2010-01,2.147,
2010-04,2.147,
2010-07,2.141,
2010-10,2.179,
2011-01,2.141,
2011-04,2.087,
2011-07,2.068,
2011-10,2.017,
2012-01,1.867,
2012-04,1.820,
2012-07,1.796,
2012-10,1.669,
2013-01,1.578,
2013-04,1.504,
2013-07,1.514,
2013-10,1.398,
2014-01,1.447,
2014-04,1.404,
2014-07,1.287,
