"",BBK01.OEAA51P,BBK01.OEAA51P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:07,
2002-01,0.238,
2002-04,0.217,
2002-07,0.225,
2002-10,0.224,
2003-01,0.196,
2003-04,0.193,
2003-07,0.167,
2003-10,0.159,
2004-01,0.137,
2004-04,0.122,
2004-07,0.124,
2004-10,0.118,
2005-01,0.161,
2005-04,0.155,
2005-07,0.155,
2005-10,0.127,
2006-01,0.102,
2006-04,0.120,
2006-07,0.114,
2006-10,0.114,
2007-01,0.109,
2007-04,0.087,
2007-07,0.082,
2007-10,0.092,
2008-01,0.081,
2008-04,0.117,
2008-07,0.086,
2008-10,0.086,
2009-01,0.057,
2009-04,0.056,
2009-07,0.054,
2009-10,0.052,
2010-01,0.065,
2010-04,0.059,
2010-07,0.039,
2010-10,0.051,
2011-01,0.040,
2011-04,0.066,
2011-07,0.089,
2011-10,0.086,
2012-01,0.109,
2012-04,0.198,
2012-07,0.166,
2012-10,0.167,
2013-01,0.225,
2013-04,0.280,
2013-07,0.239,
2013-10,0.248,
2014-01,0.236,
2014-04,0.210,
2014-07,0.188,
