"",BBK01.OEBK02I,BBK01.OEBK02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:56,
2002-01,1.818,
2002-04,1.899,
2002-07,1.844,
2002-10,2.098,
2003-01,1.941,
2003-04,1.977,
2003-07,1.587,
2003-10,1.675,
2004-01,1.617,
2004-04,1.632,
2004-07,1.615,
2004-10,1.842,
2005-01,1.924,
2005-04,1.960,
2005-07,2.047,
2005-10,2.497,
2006-01,2.387,
2006-04,2.516,
2006-07,2.505,
2006-10,3.435,
2007-01,3.049,
2007-04,3.150,
2007-07,3.159,
2007-10,2.933,
2008-01,2.766,
2008-04,2.638,
2008-07,2.467,
2008-10,2.645,
2009-01,3.450,
2009-04,3.700,
2009-07,4.055,
2009-10,4.263,
2010-01,3.571,
2010-04,4.601,
2010-07,4.711,
2010-10,4.912,
2011-01,5.262,
2011-04,5.262,
2011-07,5.670,
2011-10,5.870,
2012-01,6.174,
2012-04,6.661,
2012-07,7.045,
2012-10,7.194,
2013-01,7.230,
2013-04,7.229,
2013-07,7.415,
2013-10,7.802,
2014-01,7.696,
2014-04,7.841,
2014-07,7.833,
