"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.ES.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.ES.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Spain / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:07,
2009-09,1433,
2009-10,1514,
2009-11,1516,
2009-12,1418,
2010-01,1522,
2010-02,1347,
2010-03,1460,
2010-04,1263,
2010-05,1183,
2010-06,1035,
2010-07,1145,
2010-08,1174,
2010-09,1324,
2010-10,1242,
2010-11,1149,
2010-12,1056,
2011-01,1047,
2011-02,1372,
2011-03,1686,
2011-04,1723,
2011-05,1615,
2011-06,1598,
2011-07,1525,
2011-08,1535,
2011-09,1472,
2011-10,1484,
2011-11,1405,
2011-12,1422,
2012-01,1386,
2012-02,1478,
2012-03,1462,
2012-04,1348,
2012-05,1249,
2012-06,1165,
2012-07,1203,
2012-08,1264,
2012-09,1262,
2012-10,1359,
2012-11,1395,
2012-12,1457,
2013-01,1785,
2013-02,1689,
2013-03,1685,
2013-04,1744,
2013-05,1885,
2013-06,1753,
2013-07,1680,
2013-08,1833,
2013-09,1969,
2013-10,2075,
2013-11,2077,
2013-12,2157,
2014-01,2068,
2014-02,1897,
2014-03,1904,
2014-04,1890,
2014-05,2006,
2014-06,1867,
2014-07,1864,
2014-08,1911,
2014-09,1968,
2014-10,2049,
2014-11,2167,
