"",BBK01.OEHI02H,BBK01.OEHI02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:32,
2002-01,28.446,
2002-04,28.819,
2002-07,29.046,
2002-10,30.628,
2003-01,31.005,
2003-04,31.737,
2003-07,32.387,
2003-10,33.212,
2004-01,33.295,
2004-04,33.879,
2004-07,34.202,
2004-10,35.080,
2005-01,35.126,
2005-04,36.271,
2005-07,37.018,
2005-10,38.235,
2006-01,37.410,
2006-04,37.495,
2006-07,37.374,
2006-10,38.530,
2007-01,37.501,
2007-04,38.629,
2007-07,38.330,
2007-10,40.074,
2008-01,38.808,
2008-04,39.129,
2008-07,38.815,
2008-10,42.130,
2009-01,46.906,
2009-04,51.458,
2009-07,54.782,
2009-10,58.009,
2010-01,57.978,
2010-04,59.722,
2010-07,61.134,
2010-10,62.631,
2011-01,61.166,
2011-04,61.210,
2011-07,61.818,
2011-10,64.508,
2012-01,65.187,
2012-04,68.093,
2012-07,71.258,
2012-10,74.263,
2013-01,74.427,
2013-04,76.503,
2013-07,78.950,
2013-10,81.330,
2014-01,80.765,
2014-04,82.836,
2014-07,84.591,
