"",BBK01.OEAD12M,BBK01.OEAD12M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:11,
2002-01,0.201,
2002-04,0.214,
2002-07,0.196,
2002-10,0.214,
2003-01,0.228,
2003-04,0.148,
2003-07,0.136,
2003-10,0.121,
2004-01,0.132,
2004-04,0.140,
2004-07,0.127,
2004-10,0.121,
2005-01,0.131,
2005-04,0.136,
2005-07,0.132,
2005-10,0.130,
2006-01,0.163,
2006-04,0.164,
2006-07,0.153,
2006-10,0.165,
2007-01,0.187,
2007-04,0.209,
2007-07,0.183,
2007-10,0.180,
2008-01,0.170,
2008-04,0.213,
2008-07,0.178,
2008-10,0.167,
2009-01,0.203,
2009-04,0.202,
2009-07,0.203,
2009-10,0.183,
2010-01,0.234,
2010-04,0.162,
2010-07,0.159,
2010-10,0.140,
2011-01,0.163,
2011-04,0.176,
2011-07,0.161,
2011-10,0.161,
2012-01,0.170,
2012-04,0.170,
2012-07,0.145,
2012-10,0.156,
2013-01,0.191,
2013-04,0.193,
2013-07,0.177,
2013-10,0.195,
2014-01,0.220,
2014-04,0.168,
2014-07,0.168,
