"",BBK01.OELL04O,BBK01.OELL04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:01,
2002-01,2.581,
2002-04,2.534,
2002-07,2.554,
2002-10,2.616,
2003-01,2.616,
2003-04,2.492,
2003-07,2.441,
2003-10,2.410,
2004-01,2.356,
2004-04,2.235,
2004-07,2.208,
2004-10,2.186,
2005-01,2.149,
2005-04,2.091,
2005-07,2.083,
2005-10,2.096,
2006-01,2.096,
2006-04,2.086,
2006-07,2.137,
2006-10,2.291,
2007-01,2.446,
2007-04,2.775,
2007-07,2.928,
2007-10,3.314,
2008-01,3.456,
2008-04,3.733,
2008-07,4.333,
2008-10,5.186,
2009-01,4.869,
2009-04,4.234,
2009-07,3.422,
2009-10,2.783,
2010-01,2.258,
2010-04,2.009,
2010-07,1.950,
2010-10,1.933,
2011-01,1.958,
2011-04,1.976,
2011-07,1.991,
2011-10,2.025,
2012-01,2.010,
2012-04,1.929,
2012-07,1.840,
2012-10,1.744,
2013-01,1.578,
2013-04,1.447,
2013-07,1.369,
2013-10,1.343,
2014-01,1.274,
2014-04,1.243,
2014-07,1.215,
