"",BBK01.OEAE09T,BBK01.OEAE09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:05,
2002-01,0.492,
2002-04,0.479,
2002-07,0.473,
2002-10,0.485,
2003-01,0.482,
2003-04,0.481,
2003-07,0.483,
2003-10,0.481,
2004-01,0.499,
2004-04,0.483,
2004-07,0.472,
2004-10,0.462,
2005-01,0.468,
2005-04,0.468,
2005-07,0.473,
2005-10,0.465,
2006-01,0.453,
2006-04,0.458,
2006-07,0.464,
2006-10,0.498,
2007-01,0.513,
2007-04,0.513,
2007-07,0.544,
2007-10,0.574,
2008-01,0.592,
2008-04,0.599,
2008-07,0.614,
2008-10,0.646,
2009-01,0.479,
2009-04,0.427,
2009-07,0.367,
2009-10,0.340,
2010-01,0.366,
2010-04,0.400,
2010-07,0.409,
2010-10,0.416,
2011-01,0.395,
2011-04,0.409,
2011-07,0.426,
2011-10,0.410,
2012-01,0.415,
2012-04,0.413,
2012-07,0.414,
2012-10,0.421,
2013-01,0.415,
2013-04,0.401,
2013-07,0.395,
2013-10,0.415,
2014-01,0.416,
2014-04,0.366,
2014-07,0.362,
