"",BBFB1.Q.N.DE.GB.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:05,
1991-01,-60.428,
1991-04,43.881,
1991-07,39.866,
1991-10,13.451,
1992-01,-167.783,
1992-04,-69.876,
1992-07,-67.498,
1992-10,-141.473,
1993-01,-123.504,
1993-04,-44.678,
1993-07,-29.728,
1993-10,-47.743,
1994-01,-208.175,
1994-04,-53.393,
1994-07,-56.335,
1994-10,-88.199,
1995-01,211.107,
1995-04,206.840,
1995-07,213.821,
1995-10,198.724,
1996-01,-31.566,
1996-04,-28.557,
1996-07,1.289,
1996-10,-24.998,
1997-01,-36.109,
1997-04,7.896,
1997-07,-2.354,
1997-10,7.841,
1998-01,-617.743,
1998-04,-621.439,
1998-07,-619.439,
1998-10,-1870.550,
1999-01,-570.905,
1999-04,-721.340,
1999-07,-654.743,
1999-10,-531.622,
2000-01,-1823.172,
2000-04,-2198.648,
2000-07,-1936.715,
2000-10,-1968.035,
2001-01,-895.443,
2001-04,-931.186,
2001-07,-748.832,
2001-10,-1070.082,
2002-01,-795.687,
2002-04,-1041.741,
2002-07,-623.570,
2002-10,-2051.656,
2003-01,-498.087,
2003-04,-253.465,
2003-07,-178.249,
2003-10,-180.808,
2004-01,-400.398,
2004-04,-468.996,
2004-07,-702.398,
2004-10,-933.504,
2005-01,545.583,
2005-04,494.919,
2005-07,944.119,
2005-10,717.170,
2006-01,588.822,
2006-04,739.604,
2006-07,688.052,
2006-10,205.264,
2007-01,675.215,
2007-04,513.926,
2007-07,560.457,
2007-10,-334.141,
2008-01,-3067.790,
2008-04,-1439.064,
2008-07,-1277.579,
2008-10,-2265.366,
2009-01,-777.831,
2009-04,-345.110,
2009-07,-56.823,
2009-10,-1197.260,
2010-01,1201.005,
2010-04,1158.447,
2010-07,1739.555,
2010-10,1062.254,
2011-01,-231.861,
2011-04,1037.808,
2011-07,1267.497,
2011-10,278.954,
2012-01,609.079,
2012-04,1064.749,
2012-07,1032.298,
2012-10,164.335,
2013-01,-325.743,
2013-04,-619.094,
2013-07,-567.825,
2013-10,-1256.888,
2014-01,-932.441,Provisional value
2014-04,-16.360,Provisional value
2014-07,-449.489,Provisional value
2014-10,-1537.867,Provisional value
