"",BBK01.OELB09P,BBK01.OELB09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:46,
2002-01,1.106,
2002-04,1.103,
2002-07,1.104,
2002-10,1.094,
2003-01,1.079,
2003-04,1.080,
2003-07,1.049,
2003-10,1.022,
2004-01,1.024,
2004-04,1.007,
2004-07,1.001,
2004-10,0.959,
2005-01,0.940,
2005-04,0.921,
2005-07,0.932,
2005-10,0.899,
2006-01,0.873,
2006-04,0.924,
2006-07,0.891,
2006-10,0.905,
2007-01,0.893,
2007-04,0.900,
2007-07,0.906,
2007-10,0.929,
2008-01,0.916,
2008-04,1.003,
2008-07,1.028,
2008-10,1.038,
2009-01,1.045,
2009-04,1.052,
2009-07,1.062,
2009-10,1.062,
2010-01,1.081,
2010-04,1.085,
2010-07,1.085,
2010-10,1.125,
2011-01,1.144,
2011-04,1.186,
2011-07,1.201,
2011-10,1.190,
2012-01,1.232,
2012-04,1.281,
2012-07,1.290,
2012-10,1.299,
2013-01,1.316,
2013-04,1.322,
2013-07,1.325,
2013-10,1.336,
2014-01,1.294,
2014-04,1.284,
2014-07,1.280,
