"",BBK01.OEAE05U,BBK01.OEAE05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:18,
2002-01,0.360,
2002-04,0.360,
2002-07,0.359,
2002-10,0.364,
2003-01,0.351,
2003-04,0.345,
2003-07,0.339,
2003-10,0.335,
2004-01,0.335,
2004-04,0.333,
2004-07,0.328,
2004-10,0.327,
2005-01,0.319,
2005-04,0.314,
2005-07,0.307,
2005-10,0.298,
2006-01,0.290,
2006-04,0.290,
2006-07,0.281,
2006-10,0.280,
2007-01,0.279,
2007-04,0.271,
2007-07,0.269,
2007-10,0.261,
2008-01,0.257,
2008-04,0.256,
2008-07,0.251,
2008-10,0.251,
2009-01,0.251,
2009-04,0.255,
2009-07,0.254,
2009-10,0.243,
2010-01,0.249,
2010-04,0.247,
2010-07,0.241,
2010-10,0.239,
2011-01,0.242,
2011-04,0.240,
2011-07,0.243,
2011-10,0.236,
2012-01,0.232,
2012-04,0.252,
2012-07,0.252,
2012-10,0.253,
2013-01,0.270,
2013-04,0.280,
2013-07,0.282,
2013-10,0.284,
2014-01,0.250,
2014-04,0.244,
2014-07,0.240,
