"",BBK01.OEAA01J,BBK01.OEAA01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:29,
2002-01,27.112,
2002-04,27.024,
2002-07,27.767,
2002-10,27.550,
2003-01,27.149,
2003-04,26.834,
2003-07,26.896,
2003-10,26.606,
2004-01,26.720,
2004-04,27.497,
2004-07,27.282,
2004-10,27.355,
2005-01,28.984,
2005-04,29.425,
2005-07,29.981,
2005-10,30.407,
2006-01,30.600,
2006-04,30.690,
2006-07,30.947,
2006-10,28.496,
2007-01,28.401,
2007-04,28.939,
2007-07,29.268,
2007-10,29.343,
2008-01,29.345,
2008-04,30.217,
2008-07,30.859,
2008-10,31.118,
2009-01,31.439,
2009-04,30.907,
2009-07,29.923,
2009-10,29.818,
2010-01,30.064,
2010-04,35.692,
2010-07,34.167,
2010-10,33.841,
2011-01,33.200,
2011-04,33.058,
2011-07,33.435,
2011-10,33.798,
2012-01,32.530,
2012-04,34.276,
2012-07,33.861,
2012-10,28.079,
2013-01,28.342,
2013-04,27.833,
2013-07,28.223,
2013-10,28.119,
2014-01,27.922,
2014-04,27.731,
2014-07,27.893,
