"",BBSF2.M.1.S.I1252.REN01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.REN01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Number / Other insurance corporations / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:49:37,
2009-09,138,
2009-10,138,
2009-11,130,
2009-12,130,
2010-01,132,
2010-02,130,
2010-03,129,
2010-04,130,
2010-05,127,
2010-06,123,
2010-07,122,
2010-08,122,
2010-09,127,
2010-10,127,
2010-11,123,
2010-12,121,
2011-01,121,
2011-02,124,
2011-03,123,
2011-04,124,
2011-05,123,
2011-06,124,
2011-07,123,
2011-08,122,
2011-09,121,
2011-10,121,
2011-11,120,
2011-12,117,
2012-01,117,
2012-02,117,
2012-03,116,
2012-04,116,
2012-05,115,
2012-06,115,
2012-07,115,
2012-08,115,
2012-09,115,
2012-10,112,
2012-11,109,
2012-12,108,
2013-01,108,
2013-02,107,
2013-03,113,
2013-04,111,
2013-05,111,
2013-06,114,
2013-07,114,
2013-08,114,
2013-09,115,
2013-10,112,
2013-11,110,
2013-12,110,
2014-01,107,
2014-02,106,
2014-03,104,
2014-04,103,
2014-05,101,
2014-06,103,
2014-07,102,
2014-08,103,
2014-09,103,
2014-10,103,
2014-11,102,
