"",BBFB1.Q.N.DE.IT.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.IT.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:55,
1991-01,471.901,
1991-04,289.384,
1991-07,405.120,
1991-10,-41.111,
1992-01,592.898,
1992-04,-80.568,
1992-07,-1237.042,
1992-10,79.294,
1993-01,-259.486,
1993-04,1.104,
1993-07,387.625,
1993-10,1084.382,
1994-01,761.651,
1994-04,163.690,
1994-07,-255.562,
1994-10,478.531,
1995-01,181.092,
1995-04,521.054,
1995-07,161.427,
1995-10,263.751,
1996-01,444.533,
1996-04,1045.842,
1996-07,94.982,
1996-10,1213.955,
1997-01,1579.510,
1997-04,690.845,
1997-07,2596.126,
1997-10,937.205,
1998-01,3508.972,
1998-04,-876.423,
1998-07,1290.878,
1998-10,407.293,
1999-01,3661.087,
1999-04,1370.755,
1999-07,3002.650,
1999-10,-191.163,
2000-01,-287.880,
2000-04,2395.093,
2000-07,1548.579,
2000-10,969.563,
2001-01,3812.404,
2001-04,-710.216,
2001-07,1392.147,
2001-10,-197.811,
2002-01,-527.204,
2002-04,577.648,
2002-07,64.018,
2002-10,-747.941,
2003-01,849.633,
2003-04,1087.139,
2003-07,3365.263,
2003-10,3416.544,
2004-01,864.442,
2004-04,2292.106,
2004-07,687.966,
2004-10,656.578,
2005-01,2694.911,
2005-04,2268.173,
2005-07,2268.631,
2005-10,-571.724,
2006-01,3599.769,
2006-04,3245.570,
2006-07,375.143,
2006-10,3765.500,
2007-01,2819.813,
2007-04,6470.596,
2007-07,113.139,
2007-10,-1330.470,
2008-01,2916.918,
2008-04,-508.618,
2008-07,1249.334,
2008-10,-1825.660,
2009-01,72.725,
2009-04,1297.882,
2009-07,667.892,
2009-10,823.347,
2010-01,1264.357,
2010-04,-743.766,
2010-07,-1426.580,
2010-10,777.711,
2011-01,-266.731,
2011-04,94.788,
2011-07,1012.479,
2011-10,-143.735,
2012-01,-957.063,
2012-04,1195.972,
2012-07,460.630,
2012-10,-28.294,
2013-01,-1478.218,
2013-04,-223.529,
2013-07,873.530,
2013-10,910.602,
2014-01,-514.761,Provisional value
2014-04,1608.592,Provisional value
2014-07,157.200,Provisional value
2014-10,1407.680,Provisional value
