"",BBFB1.Q.N.DE.B2.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:37,
1991-01,1386.089,
1991-04,2310.726,
1991-07,1333.436,
1991-10,-426.895,
1992-01,-2219.942,
1992-04,-662.941,
1992-07,1273.472,
1992-10,1040.089,
1993-01,823.154,
1993-04,2355.635,
1993-07,1121.767,
1993-10,2970.225,
1994-01,323.356,
1994-04,2154.685,
1994-07,860.540,
1994-10,2631.135,
1995-01,72.440,
1995-04,2078.697,
1995-07,2134.942,
1995-10,1438.296,
1996-01,2006.825,
1996-04,-256.160,
1996-07,-2175.572,
1996-10,3157.718,
1997-01,982.578,
1997-04,2265.960,
1997-07,3311.748,
1997-10,7997.108,
1998-01,5789.221,
1998-04,662.184,
1998-07,3742.333,
1998-10,790.015,
1999-01,3912.588,
1999-04,8825.966,
1999-07,2355.073,
1999-10,3948.394,
2000-01,5297.442,
2000-04,1857.957,
2000-07,6973.105,
2000-10,6622.500,
2001-01,6127.452,
2001-04,9006.059,
2001-07,9128.437,
2001-10,13518.007,
2002-01,9425.271,
2002-04,6561.030,
2002-07,3865.771,
2002-10,7725.471,
2003-01,4198.094,
2003-04,4174.914,
2003-07,8277.955,
2003-10,3787.454,
2004-01,-2676.030,
2004-04,-4382.419,
2004-07,1871.286,
2004-10,1533.671,
2005-01,8324.095,
2005-04,19195.207,
2005-07,15306.574,
2005-10,12092.980,
2006-01,3287.895,
2006-04,10716.568,
2006-07,9511.266,
2006-10,21159.837,
2007-01,8607.939,
2007-04,13690.158,
2007-07,16073.793,
2007-10,6750.431,
2008-01,11038.831,
2008-04,36770.606,
2008-07,31692.763,
2008-10,13056.739,
2009-01,-325.561,
2009-04,17874.319,
2009-07,-9053.923,
2009-10,-9841.843,
2010-01,-12372.975,
2010-04,-1710.475,
2010-07,-22634.587,
2010-10,3997.229,
2011-01,98.494,
2011-04,-987.838,
2011-07,6569.791,
2011-10,12330.578,
2012-01,-2138.331,
2012-04,10037.084,
2012-07,-3888.349,
2012-10,4445.977,
2013-01,-1483.390,
2013-04,2622.956,
2013-07,-6115.893,
2013-10,-4278.142,
2014-01,754.830,Provisional value
2014-04,-3766.401,Provisional value
2014-07,2606.349,Provisional value
2014-10,1769.706,Provisional value
