"",BBK01.OEAE34R,BBK01.OEAE34R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:45,
2002-01,0.427,
2002-04,0.419,
2002-07,0.419,
2002-10,0.428,
2003-01,0.425,
2003-04,0.420,
2003-07,0.419,
2003-10,0.421,
2004-01,0.426,
2004-04,0.425,
2004-07,0.426,
2004-10,0.417,
2005-01,0.434,
2005-04,0.428,
2005-07,0.429,
2005-10,0.439,
2006-01,0.439,
2006-04,0.484,
2006-07,0.473,
2006-10,0.473,
2007-01,0.481,
2007-04,0.490,
2007-07,0.493,
2007-10,0.508,
2008-01,0.511,
2008-04,0.514,
2008-07,0.516,
2008-10,0.514,
2009-01,0.499,
2009-04,0.520,
2009-07,0.525,
2009-10,0.782,
2010-01,0.548,
2010-04,0.541,
2010-07,0.544,
2010-10,0.548,
2011-01,0.570,
2011-04,0.572,
2011-07,0.568,
2011-10,0.570,
2012-01,0.588,
2012-04,0.850,
2012-07,0.856,
2012-10,0.861,
2013-01,0.865,
2013-04,0.870,
2013-07,0.875,
2013-10,0.890,
2014-01,0.922,
2014-04,0.928,
2014-07,0.931,
