"",BBK01.OEBK02K,BBK01.OEBK02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:57,
2002-01,1.358,
2002-04,1.496,
2002-07,1.638,
2002-10,1.637,
2003-01,1.665,
2003-04,1.648,
2003-07,1.736,
2003-10,1.676,
2004-01,1.532,
2004-04,1.617,
2004-07,1.654,
2004-10,1.584,
2005-01,1.662,
2005-04,1.709,
2005-07,1.731,
2005-10,1.762,
2006-01,1.678,
2006-04,1.692,
2006-07,1.615,
2006-10,1.646,
2007-01,1.674,
2007-04,1.732,
2007-07,1.874,
2007-10,2.239,
2008-01,1.945,
2008-04,1.822,
2008-07,1.780,
2008-10,1.790,
2009-01,2.046,
2009-04,2.483,
2009-07,2.563,
2009-10,2.716,
2010-01,2.936,
2010-04,2.987,
2010-07,2.900,
2010-10,3.234,
2011-01,3.202,
2011-04,3.562,
2011-07,3.160,
2011-10,3.249,
2012-01,3.429,
2012-04,3.556,
2012-07,3.404,
2012-10,3.468,
2013-01,3.860,
2013-04,3.926,
2013-07,4.320,
2013-10,4.627,
2014-01,4.801,
2014-04,4.851,
2014-07,4.783,
