"",BBDE1.M.DE.Y.AEA1.P2XF13010.B2.V.I10.A,BBDE1.M.DE.Y.AEA1.P2XF13010.B2.V.I10.A_FLAGS
"","Orders received / At current prices, flows / Germany / Public sector construction and road construction / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 08:07:16,
1991-01,101.0,
1991-02,111.4,
1991-03,111.7,
1991-04,111.1,
1991-05,105.8,
1991-06,122.9,
1991-07,117.2,
1991-08,119.6,
1991-09,122.7,
1991-10,119.5,
1991-11,123.3,
1991-12,129.9,
1992-01,126.5,
1992-02,131.4,
1992-03,126.0,
1992-04,130.1,
1992-05,128.1,
1992-06,123.2,
1992-07,118.5,
1992-08,117.7,
1992-09,125.6,
1992-10,129.6,
1992-11,124.9,
1992-12,138.1,
1993-01,134.8,
1993-02,133.5,
1993-03,135.3,
1993-04,126.9,
1993-05,125.1,
1993-06,123.8,
1993-07,125.0,
1993-08,131.5,
1993-09,124.5,
1993-10,137.0,
1993-11,134.3,
1993-12,139.3,
1994-01,148.2,
1994-02,137.9,
1994-03,133.1,
1994-04,131.5,
1994-05,134.3,
1994-06,127.7,
1994-07,132.3,
1994-08,140.7,
1994-09,133.3,
1994-10,138.5,
1994-11,141.2,
1994-12,132.5,
1995-01,143.6,
1995-02,130.2,
1995-03,133.2,
1995-04,129.5,
1995-05,128.5,
1995-06,126.4,
1995-07,135.6,
1995-08,130.3,
1995-09,139.4,
1995-10,128.4,
1995-11,157.1,
1995-12,119.8,
1996-01,118.6,
1996-02,119.5,
1996-03,113.4,
1996-04,118.5,
1996-05,115.3,
1996-06,121.1,
1996-07,119.2,
1996-08,118.8,
1996-09,116.4,
1996-10,121.0,
1996-11,117.7,
1996-12,111.8,
1997-01,103.3,
1997-02,122.0,
1997-03,111.0,
1997-04,112.8,
1997-05,116.1,
1997-06,116.8,
1997-07,114.0,
1997-08,115.0,
1997-09,115.0,
1997-10,119.1,
1997-11,113.6,
1997-12,115.0,
