"",BBK01.OEAD24Q,BBK01.OEAD24Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:22,
2002-01,0.013,
2002-04,0.012,
2002-07,0.011,
2002-10,0.013,
2003-01,0.013,
2003-04,0.014,
2003-07,0.012,
2003-10,0.012,
2004-01,0.012,
2004-04,0.014,
2004-07,0.013,
2004-10,0.009,
2005-01,0.010,
2005-04,0.009,
2005-07,0.012,
2005-10,0.012,
2006-01,0.012,
2006-04,0.014,
2006-07,0.011,
2006-10,0.013,
2007-01,0.013,
2007-04,0.012,
2007-07,0.157,
2007-10,0.115,
2008-01,0.078,
2008-04,0.073,
2008-07,0.073,
2008-10,0.076,
2009-01,0.082,
2009-04,0.094,
2009-07,0.017,
2009-10,0.017,
2010-01,0.010,
2010-04,0.007,
2010-07,0.007,
2010-10,0.006,
2011-01,0.006,
2011-04,0.009,
2011-07,0.009,
2011-10,0.011,
2012-01,0.010,
2012-04,0.012,
2012-07,0.011,
2012-10,0.026,
2013-01,0.022,
2013-04,0.021,
2013-07,0.022,
2013-10,0.019,
2014-01,0.019,
2014-04,0.017,
2014-07,0.018,
