"",BBK01.OEAD08J,BBK01.OEAD08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:18,
2002-01,0.138,
2002-04,0.135,
2002-07,0.151,
2002-10,0.142,
2003-01,0.137,
2003-04,0.146,
2003-07,0.148,
2003-10,0.141,
2004-01,0.141,
2004-04,0.135,
2004-07,0.124,
2004-10,0.115,
2005-01,0.114,
2005-04,0.119,
2005-07,0.115,
2005-10,0.136,
2006-01,0.146,
2006-04,0.160,
2006-07,0.161,
2006-10,0.157,
2007-01,0.167,
2007-04,0.156,
2007-07,0.182,
2007-10,0.173,
2008-01,0.185,
2008-04,0.202,
2008-07,0.184,
2008-10,0.192,
2009-01,0.167,
2009-04,0.155,
2009-07,0.149,
2009-10,0.145,
2010-01,0.042,
2010-04,0.154,
2010-07,0.153,
2010-10,0.155,
2011-01,0.152,
2011-04,0.143,
2011-07,0.152,
2011-10,0.152,
2012-01,0.154,
2012-04,0.159,
2012-07,0.169,
2012-10,0.165,
2013-01,0.164,
2013-04,0.147,
2013-07,0.155,
2013-10,0.152,
2014-01,0.141,
2014-04,0.142,
2014-07,0.138,
