"",BBFN1.M.DE.N.1.A.ES.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ES.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Spain,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:09,
1982-09,0.368,
1982-10,0.274,
1982-11,0.275,
1982-12,0.280,
1983-01,0.267,
1983-02,0.268,
1983-03,0.263,
1983-04,0.261,
1983-05,0.263,
1983-06,0.264,
1983-07,0.263,
1983-08,0.263,
1983-09,0.263,
1983-10,0.201,
1983-11,0.203,
1983-12,0.167,
1984-01,0.167,
1984-02,0.164,
1984-03,0.164,
1984-04,0.160,
1984-05,0.160,
1984-06,0.163,
1984-07,0.164,
1984-08,0.164,
1984-09,0.166,
1984-10,0.161,
1984-11,0.165,
1984-12,0.164,
1985-01,0.161,
1985-02,0.155,
1985-03,0.151,
1985-04,0.153,
1985-05,0.152,
1985-06,0.155,
1985-07,0.153,
1985-08,0.154,
1985-09,0.155,
1985-10,0.188,
1985-11,0.194,
1985-12,0.199,
1986-01,0.185,
1986-02,0.185,
1986-03,0.183,
1986-04,0.180,
1986-05,0.153,
1986-06,0.151,
1986-07,0.151,
1986-08,0.152,
1986-09,0.153,
1986-10,0.148,
1986-11,0.151,
1986-12,0.147,
1987-01,0.137,
1987-02,0.133,
1987-03,0.134,
1987-04,0.132,
1987-05,0.137,
1987-06,0.139,
1987-07,0.138,
1987-08,0.134,
1987-09,0.138,
1987-10,0.139,
1987-11,0.145,
1987-12,0.152,
1988-01,0.148,
1988-02,0.168,
1988-03,0.168,
1988-04,0.173,
1988-05,0.179,
1988-06,0.143,
1988-07,0.153,
1988-08,0.186,
1988-09,0.160,
1988-10,0.165,
1988-11,0.169,
1988-12,0.163,
1989-01,0.166,
1989-02,0.183,
1989-03,0.180,
1989-04,0.184,
1989-05,0.191,
1989-06,0.151,
1989-07,0.201,
1989-08,0.336,
1989-09,0.338,
1989-10,0.339,
1989-11,0.339,
1989-12,0.343,
1990-01,0.372,comment
1990-02,0.380,
1990-03,0.417,
1990-04,0.420,
1990-05,0.425,
1990-06,0.441,
1990-07,0.445,
1990-08,0.449,
1990-09,0.447,
1990-10,0.443,
1990-11,0.444,
1990-12,0.457,
1991-01,0.463,
1991-02,0.466,
1991-03,0.471,
1991-04,0.467,
1991-05,0.477,
1991-06,0.602,
1991-07,0.604,
1991-08,0.600,
1991-09,0.588,
1991-10,0.588,
1991-11,0.583,
1991-12,0.572,
1992-01,0.572,
1992-02,0.572,
1992-03,0.571,
1992-04,0.565,
1992-05,0.540,
1992-06,0.418,
1992-07,0.442,
1992-08,0.444,
1992-09,0.429,
1992-10,0.429,
1992-11,0.426,
1992-12,0.438,
1993-01,0.432,
1993-02,0.426,
1993-03,0.424,
1993-04,0.428,
1993-05,0.433,
1993-06,0.429,
1993-07,0.435,
1993-08,0.428,
1993-09,0.423,
1993-10,0.424,
1993-11,0.425,
1993-12,0.410,
1994-01,0.398,
1994-02,0.398,
1994-03,0.391,
1994-04,0.388,
1994-05,0.415,
1994-06,0.413,
1994-07,0.420,
1994-08,0.420,
1994-09,0.429,
1994-10,0.445,
1994-11,0.455,
1994-12,0.420,
1995-01,0.427,
1995-02,0.390,
1995-03,0.372,
1995-04,0.375,
1995-05,0.379,
1995-06,0.392,
1995-07,0.396,
1995-08,0.376,
1995-09,0.376,
1995-10,0.371,
1995-11,0.363,
1995-12,0.263,
1996-01,0.251,
1996-02,0.241,
1996-03,0.231,
1996-04,0.215,
1996-05,0.221,
1996-06,0.224,
1996-07,0.218,
1996-08,0.188,
1996-09,0.186,
1996-10,0.185,
1996-11,0.186,
1996-12,0.153,
1997-01,0.159,
1997-02,0.149,
1997-03,0.155,
1997-04,0.155,
1997-05,0.156,
1997-06,0.161,
1997-07,0.213,
1997-08,0.212,
1997-09,0.214,
1997-10,0.214,
1997-11,0.215,
1997-12,0.228,
1998-01,0.234,
1998-02,0.237,
1998-03,0.231,
1998-04,0.230,
1998-05,0.233,
1998-06,0.238,
1998-07,0.239,
1998-08,0.257,
1998-09,0.278,
1998-10,0.279,
1998-11,0.279,
1998-12,0.288,
1999-01,0.456,
1999-02,0.518,
1999-03,0.513,
1999-04,0.528,
1999-05,0.522,
1999-06,0.525,
1999-07,0.638,
1999-08,0.638,
1999-09,0.630,
1999-10,0.627,
1999-11,0.639,
1999-12,0.640,
2000-01,0.643,
2000-02,0.638,
2000-03,0.586,
2000-04,0.588,
2000-05,0.591,
2000-06,0.582,
2000-07,0.593,
2000-08,0.642,
2000-09,0.631,
2000-10,0.635,
2000-11,0.594,
2000-12,0.603,
2001-01,0.604,
2001-02,0.603,
2001-03,0.608,
2001-04,0.606,
2001-05,0.602,
2001-06,0.598,
2001-07,0.613,
2001-08,0.613,
2001-09,0.610,
2001-10,0.601,
2001-11,0.604,
2001-12,0.590,
2002-01,0.593,
2002-02,0.679,
2002-03,0.793,
2002-04,0.856,
2002-05,0.873,
2002-06,0.831,
2002-07,0.840,
2002-08,0.856,
2002-09,0.859,
2002-10,0.870,
2002-11,0.816,
2002-12,0.852,
2003-01,0.867,
2003-02,0.886,
2003-03,0.875,
2003-04,0.864,
2003-05,0.905,
2003-06,0.873,
2003-07,0.842,
2003-08,0.730,
2003-09,0.721,
2003-10,0.712,
2003-11,0.783,
2003-12,0.862,
2004-01,0.853,
2004-02,0.848,
2004-03,0.872,
2004-04,0.870,
2004-05,0.872,
2004-06,0.822,
2004-07,0.937,
2004-08,0.940,
2004-09,0.935,
2004-10,0.976,
2004-11,1.010,
2004-12,1.050,
2005-01,1.054,
2005-02,1.060,
2005-03,1.333,
2005-04,1.388,
2005-05,1.373,
2005-06,1.398,
2005-07,1.421,
2005-08,1.421,
2005-09,1.390,
2005-10,1.392,
2005-11,1.079,
2005-12,1.330,
2006-01,1.482,
2006-02,1.789,
2006-03,1.831,
2006-04,1.891,
2006-05,1.880,
2006-06,1.814,
2006-07,1.888,
2006-08,1.893,
2006-09,1.892,
2006-10,2.125,
2006-11,2.124,
2006-12,2.306,
2007-01,2.417,
2007-02,2.548,
2007-03,2.657,
2007-04,2.712,
2007-05,2.693,
2007-06,2.694,
2007-07,2.718,
2007-08,2.720,
2007-09,2.782,
2007-10,2.797,
2007-11,2.719,
2007-12,3.070,
2008-01,3.304,
2008-02,3.545,
2008-03,3.771,
2008-04,3.899,
2008-05,4.193,
2008-06,4.561,
2008-07,4.623,
2008-08,4.632,
2008-09,4.610,
2008-10,4.651,
2008-11,4.673,
2008-12,4.771,
2009-01,4.994,
2009-02,5.144,
2009-03,5.512,
2009-04,5.703,
2009-05,5.756,
2009-06,6.265,
2009-07,6.537,
2009-08,6.596,
2009-09,6.713,
2009-10,6.834,
2009-11,6.881,
2009-12,6.855,
2010-01,6.587,
2010-02,6.583,
2010-03,6.651,
2010-04,6.688,
2010-05,6.647,
2010-06,6.914,
2010-07,7.153,
2010-08,7.254,
2010-09,7.575,
2010-10,7.641,
2010-11,7.947,
2010-12,8.476,
2011-01,8.476,
2011-02,8.587,
2011-03,8.605,
2011-04,8.598,
2011-05,8.751,
2011-06,8.631,
2011-07,8.804,
2011-08,8.822,
2011-09,8.844,
2011-10,8.881,
2011-11,8.831,
2011-12,9.210,
2012-01,9.177,
2012-02,9.205,
2012-03,9.216,
2012-04,9.256,
2012-05,9.296,
2012-06,9.135,
2012-07,9.044,
2012-08,8.977,
2012-09,8.155,
2012-10,8.143,
2012-11,8.106,
2012-12,7.928,
2013-01,7.979,
2013-02,7.760,
2013-03,7.596,
2013-04,7.504,
2013-05,7.568,
2013-06,7.500,
2013-07,7.261,
2013-08,7.519,
2013-09,7.542,
2013-10,7.493,
2013-11,7.513,
2013-12,7.542,
2014-01,7.605,
2014-02,7.749,
2014-03,7.981,
2014-04,8.000,
2014-05,8.003,
2014-06,7.867,
2014-07,7.887,
2014-08,7.910,
2014-09,7.924,
2014-10,7.927,
2014-11,8.028,
2014-12,7.968,
