"",BBK01.TVE304,BBK01.TVE304_FLAGS
"",Money stock M3 / Money stock M2 / Money stock M1 / Overnight deposits / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:35,
1997-10,2892,
1997-11,31220,
1997-12,51350,
1998-01,-51375,
1998-02,2000,
1998-03,29640,
1998-04,13960,
1998-05,16095,
1998-06,49122,
1998-07,-42470,
1998-08,-7300,
1998-09,27495,
1998-10,1135,
1998-11,47700,
1998-12,67125,
1999-01,29095,
1999-02,-31228,
1999-03,15482,
1999-04,11833,
1999-05,30223,
1999-06,40320,
1999-07,-8012,
1999-08,-29837,
1999-09,25079,
1999-10,3071,
1999-11,32547,
1999-12,33159,
2000-01,26845,
2000-02,-6974,
2000-03,7051,
2000-04,35117,
2000-05,-13620,
2000-06,13125,
2000-07,-5065,
2000-08,-30610,
2000-09,10487,
2000-10,-475,
2000-11,21248,
2000-12,57710,
2001-01,-50789,
2001-02,1040,
2001-03,8230,
2001-04,33823,
2001-05,20205,
2001-06,41477,
2001-07,-16512,
2001-08,-28592,
2001-09,68235,
2001-10,3056,
2001-11,49837,
2001-12,108585,
2002-01,-47748,
2002-02,-4648,
2002-03,-3075,
2002-04,33806,
2002-05,2754,
2002-06,49756,
2002-07,-33815,
2002-08,-30898,
2002-09,57446,
2002-10,-16378,
2002-11,52499,
2002-12,58026,
2003-01,-53560,
2003-02,3153,
2003-03,39085,
2003-04,21806,
2003-05,30095,
2003-06,48080,
2003-07,-29979,
2003-08,-15023,
2003-09,43668,
2003-10,-2069,
2003-11,41330,
2003-12,46155,
2004-01,-15854,
2004-02,-2689,
2004-03,34652,
2004-04,14674,
2004-05,11493,
2004-06,37850,
2004-07,-11880,
2004-08,-35880,
2004-09,58448,
2004-10,3787,
2004-11,46121,
2004-12,19092,
2005-01,23163,
2005-02,737,
2005-03,18673,
2005-04,23792,
2005-05,25457,
2005-06,66125,
2005-07,6600,
2005-08,-45089,
2005-09,47039,
2005-10,23837,
2005-11,24257,
2005-12,73548,
2006-01,-24449,
2006-02,-7170,
2006-03,21311,
2006-04,58558,
2006-05,15462,
2006-06,38086,
2006-07,-34583,
2006-08,-52949,
2006-09,60567,
2006-10,-21244,
2006-11,43543,
2006-12,118199,
2007-01,-64577,
2007-02,-9415,
2007-03,51783,
2007-04,14544,
2007-05,18394,
2007-06,60554,
2007-07,-20594,
2007-08,-79880,
2007-09,76365,
2007-10,-33405,
2007-11,36395,
2007-12,49955,
2008-01,-45400,
2008-02,-52748,
2008-03,50653,
2008-04,-24228,
2008-05,24430,
2008-06,41784,
2008-07,-84415,
2008-08,-50098,
2008-09,82394,
2008-10,14331,
2008-11,20807,
2008-12,55515,
2009-01,33734,
2009-02,219,
2009-03,29674,
2009-04,73380,
2009-05,24571,
2009-06,87725,
2009-07,-11117,
2009-08,11696,
2009-09,63151,
2009-10,50805,
2009-11,33926,
2009-12,60831,
2010-01,10592,
2010-02,-19628,
2010-03,-3674,
2010-04,76466,
2010-05,24228,
2010-06,37443,
2010-07,-20096,
2010-08,-29218,
2010-09,9546,
2010-10,6856,
2010-11,9266,
2010-12,48575,
2011-01,-32474,
2011-02,-33505,
2011-03,14501,
2011-04,33089,
2011-05,-20841,
2011-06,46150,
2011-07,-28995,
2011-08,-12390,
2011-09,11101,
2011-10,4506,
2011-11,11647,
2011-12,63945,
2012-01,-34829,
2012-02,-30951,
2012-03,46884,
2012-04,1017,
2012-05,30409,
2012-06,62907,
2012-07,18969,
2012-08,3138,
2012-09,50708,
2012-10,36460,
2012-11,35545,
2012-12,69597,
2013-01,-34056,
2013-02,6248,
2013-03,35457,
2013-04,66668,
2013-05,20813,
2013-06,38852,
2013-07,-15218,
2013-08,24010,
2013-09,23785,
2013-10,34589,
2013-11,41706,
2013-12,-4199,
2014-01,-22988,
2014-02,10233,
2014-03,26668,
2014-04,32937,
2014-05,47806,
2014-06,37974,
2014-07,857,
2014-08,32813,
2014-09,33123,
2014-10,34751,
2014-11,94384,
2014-12,27711,
2015-01,58128,
