"",BBK01.OEAI08O,BBK01.OEAI08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:53,
2002-01,-0.668,
2002-04,-1.164,
2002-07,-1.491,
2002-10,-3.828,
2003-01,-5.053,
2003-04,-5.376,
2003-07,-6.046,
2003-10,-7.800,
2004-01,-9.116,
2004-04,-9.542,
2004-07,-9.718,
2004-10,-10.156,
2005-01,26.887,
2005-04,26.557,
2005-07,26.622,
2005-10,26.610,
2006-01,25.993,
2006-04,25.525,
2006-07,24.894,
2006-10,24.532,
2007-01,23.609,
2007-04,23.014,
2007-07,22.142,
2007-10,21.432,
2008-01,20.943,
2008-04,20.611,
2008-07,20.014,
2008-10,19.869,
2009-01,20.207,
2009-04,20.782,
2009-07,21.325,
2009-10,21.899,
2010-01,22.453,
2010-04,22.911,
2010-07,23.428,
2010-10,24.074,
2011-01,24.356,
2011-04,24.455,
2011-07,24.320,
2011-10,24.766,
2012-01,24.748,
2012-04,24.451,
2012-07,24.186,
2012-10,24.109,
2013-01,23.684,
2013-04,23.595,
2013-07,23.537,
2013-10,23.715,
2014-01,23.766,
2014-04,23.572,
2014-07,23.409,
