"",BBK01.OEAH23L,BBK01.OEAH23L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:12,
2002-01,1.767,
2002-04,1.776,
2002-07,1.751,
2002-10,1.711,
2003-01,1.650,
2003-04,1.584,
2003-07,1.539,
2003-10,1.527,
2004-01,1.475,
2004-04,1.422,
2004-07,1.395,
2004-10,1.391,
2005-01,1.296,
2005-04,1.287,
2005-07,1.275,
2005-10,1.431,
2006-01,1.755,
2006-04,2.046,
2006-07,2.488,
2006-10,3.112,
2007-01,4.119,
2007-04,5.095,
2007-07,6.087,
2007-10,7.583,
2008-01,8.455,
2008-04,9.283,
2008-07,9.735,
2008-10,10.450,
2009-01,9.388,
2009-04,7.569,
2009-07,5.985,
2009-10,4.303,
2010-01,3.367,
2010-04,3.094,
2010-07,2.829,
2010-10,3.038,
2011-01,3.023,
2011-04,3.166,
2011-07,3.218,
2011-10,3.726,
2012-01,3.796,
2012-04,3.748,
2012-07,3.662,
2012-10,3.460,
2013-01,3.171,
2013-04,2.933,
2013-07,2.750,
2013-10,2.715,
2014-01,2.705,
2014-04,2.713,
2014-07,2.660,
