"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.GB.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.GB.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / United Kingdom,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:48,
2009-09,8150,
2009-10,8054,
2009-11,8174,
2009-12,8618,
2010-01,8565,
2010-02,8578,
2010-03,9115,
2010-04,8940,
2010-05,8480,
2010-06,8319,
2010-07,8785,
2010-08,8963,
2010-09,9301,
2010-10,9478,
2010-11,9729,
2010-12,10336,
2011-01,10109,
2011-02,10353,
2011-03,9751,
2011-04,10047,
2011-05,10266,
2011-06,9912,
2011-07,10135,
2011-08,9162,
2011-09,8801,
2011-10,9598,
2011-11,9513,
2011-12,9908,
2012-01,10194,
2012-02,10383,
2012-03,10390,
2012-04,10744,
2012-05,10030,
2012-06,10204,
2012-07,10720,
2012-08,10750,
2012-09,10831,
2012-10,10889,
2012-11,10987,
2012-12,11195,
2013-01,11366,
2013-02,11658,
2013-03,12101,
2013-04,12321,
2013-05,12499,
2013-06,12053,
2013-07,12778,
2013-08,12759,
2013-09,12914,
2013-10,13286,
2013-11,13530,
2013-12,13620,
2014-01,13390,
2014-02,13842,
2014-03,13478,
2014-04,13798,
2014-05,14030,
2014-06,13871,
2014-07,14041,
2014-08,14261,
2014-09,13964,
2014-10,13826,
2014-11,14168,
