"",BBK01.OEAO03Q,BBK01.OEAO03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:56,
2002-01,2.332,
2002-04,2.222,
2002-07,1.848,
2002-10,1.915,
2003-01,2.198,
2003-04,1.873,
2003-07,1.755,
2003-10,1.995,
2004-01,2.132,
2004-04,1.722,
2004-07,1.637,
2004-10,2.062,
2005-01,2.168,
2005-04,1.923,
2005-07,1.924,
2005-10,2.183,
2006-01,2.353,
2006-04,2.027,
2006-07,2.062,
2006-10,2.376,
2007-01,2.731,
2007-04,2.156,
2007-07,2.287,
2007-10,2.284,
2008-01,2.404,
2008-04,2.083,
2008-07,2.135,
2008-10,2.555,
2009-01,2.306,
2009-04,2.032,
2009-07,2.340,
2009-10,2.627,
2010-01,2.304,
2010-04,1.745,
2010-07,1.544,
2010-10,1.796,
2011-01,2.021,
2011-04,1.971,
2011-07,1.848,
2011-10,1.814,
2012-01,1.996,
2012-04,1.707,
2012-07,1.714,
2012-10,1.903,
2013-01,1.994,
2013-04,1.690,
2013-07,1.601,
2013-10,1.524,
2014-01,1.505,
2014-04,1.535,
2014-07,1.507,
