"",BBK01.OEBO06Q,BBK01.OEBO06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:59,
2002-01,2.603,
2002-04,2.439,
2002-07,2.469,
2002-10,2.589,
2003-01,2.619,
2003-04,2.575,
2003-07,2.570,
2003-10,2.532,
2004-01,2.468,
2004-04,2.392,
2004-07,2.455,
2004-10,2.472,
2005-01,4.107,
2005-04,4.032,
2005-07,4.010,
2005-10,4.004,
2006-01,4.059,
2006-04,3.993,
2006-07,3.925,
2006-10,3.913,
2007-01,4.097,
2007-04,4.122,
2007-07,4.101,
2007-10,4.249,
2008-01,4.296,
2008-04,4.353,
2008-07,4.334,
2008-10,4.684,
2009-01,4.879,
2009-04,5.048,
2009-07,5.257,
2009-10,5.197,
2010-01,5.190,
2010-04,5.138,
2010-07,5.138,
2010-10,5.300,
2011-01,5.377,
2011-04,5.217,
2011-07,5.147,
2011-10,5.118,
2012-01,5.257,
2012-04,5.155,
2012-07,5.101,
2012-10,5.135,
2013-01,4.949,
2013-04,4.819,
2013-07,4.730,
2013-10,4.710,
2014-01,4.661,
2014-04,4.579,
2014-07,4.719,
