"",BBK01.OEAA04J,BBK01.OEAA04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:30,
2002-01,0.093,
2002-04,0.113,
2002-07,0.118,
2002-10,0.123,
2003-01,0.098,
2003-04,0.117,
2003-07,0.106,
2003-10,0.096,
2004-01,0.094,
2004-04,0.107,
2004-07,0.114,
2004-10,0.088,
2005-01,0.090,
2005-04,0.076,
2005-07,0.076,
2005-10,0.077,
2006-01,0.071,
2006-04,0.069,
2006-07,0.060,
2006-10,0.048,
2007-01,0.045,
2007-04,0.042,
2007-07,0.039,
2007-10,0.044,
2008-01,0.046,
2008-04,0.047,
2008-07,0.039,
2008-10,0.030,
2009-01,0.026,
2009-04,0.024,
2009-07,0.026,
2009-10,0.024,
2010-01,0.025,
2010-04,0.031,
2010-07,0.030,
2010-10,0.027,
2011-01,0.031,
2011-04,0.029,
2011-07,0.031,
2011-10,0.027,
2012-01,0.027,
2012-04,0.026,
2012-07,0.027,
2012-10,0.026,
2013-01,0.029,
2013-04,0.025,
2013-07,0.022,
2013-10,0.021,
2014-01,0.024,
2014-04,0.019,
2014-07,0.013,
