"",BBFB1.Q.N.DE.IT.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:51,
1991-01,155.282,
1991-04,167.388,
1991-07,157.930,
1991-10,151.388,
1992-01,137.244,
1992-04,149.895,
1992-07,135.784,
1992-10,142.120,
1993-01,-82.262,
1993-04,-225.616,
1993-07,-136.451,
1993-10,-145.161,
1994-01,144.534,
1994-04,208.052,
1994-07,169.757,
1994-10,168.325,
1995-01,156.403,
1995-04,126.223,
1995-07,173.015,
1995-10,135.752,
1996-01,170.108,
1996-04,90.914,
1996-07,201.356,
1996-10,-171.625,
1997-01,197.891,
1997-04,197.860,
1997-07,192.722,
1997-10,198.735,
1998-01,205.032,
1998-04,191.997,
1998-07,242.990,
1998-10,246.458,
1999-01,335.875,
1999-04,508.531,
1999-07,520.546,
1999-10,415.749,
2000-01,223.709,
2000-04,324.310,
2000-07,237.360,
2000-10,310.410,
2001-01,396.407,
2001-04,508.034,
2001-07,382.973,
2001-10,358.137,
2002-01,288.847,
2002-04,359.833,
2002-07,289.651,
2002-10,280.482,
2003-01,311.469,
2003-04,407.198,
2003-07,310.161,
2003-10,312.564,
2004-01,566.915,
2004-04,603.805,
2004-07,531.770,
2004-10,554.894,
2005-01,731.239,
2005-04,840.434,
2005-07,803.685,
2005-10,848.341,
2006-01,868.365,
2006-04,1277.522,
2006-07,1076.876,
2006-10,1238.328,
2007-01,3503.889,
2007-04,3891.028,
2007-07,2965.784,
2007-10,2285.623,
2008-01,1502.418,
2008-04,543.678,
2008-07,345.284,
2008-10,298.643,
2009-01,339.054,
2009-04,532.529,
2009-07,533.111,
2009-10,813.085,
2010-01,733.578,
2010-04,1094.557,
2010-07,949.595,
2010-10,959.522,
2011-01,884.562,
2011-04,1142.075,
2011-07,988.574,
2011-10,1027.012,
2012-01,1119.383,
2012-04,1253.532,
2012-07,927.408,
2012-10,862.190,
2013-01,766.971,
2013-04,898.779,
2013-07,720.687,
2013-10,732.122,
2014-01,755.187,Provisional value
2014-04,966.437,Provisional value
2014-07,755.499,Provisional value
