"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F3.S._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F3.S._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Short-term debt-securities / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:19,
1991-01,195.167,
1991-02,319.833,
1991-03,36.450,
1991-04,40.196,
1991-05,568.026,
1991-06,238.744,
1991-07,724.119,
1991-08,965.055,
1991-09,411.065,
1991-10,255.850,
1991-11,-56.056,
1991-12,-44.134,
1992-01,-76.755,
1992-02,-636.441,
1992-03,193.835,
1992-04,121.955,
1992-05,329.077,
1992-06,-366.895,
1992-07,-387.840,
1992-08,-347.444,
1992-09,-177.584,
1992-10,990.586,
1992-11,359.605,
1992-12,55.727,
1993-01,-394.112,
1993-02,-316.479,
1993-03,5659.030,
1993-04,464.210,
1993-05,433.926,
1993-06,706.850,
1993-07,99.267,
1993-08,493.750,
1993-09,-24.834,
1993-10,1197.056,
1993-11,658.338,
1993-12,-610.683,
1994-01,614.819,
1994-02,815.503,
1994-03,-1545.117,
1994-04,2244.752,
1994-05,-417.001,
1994-06,-370.775,
1994-07,514.879,
1994-08,457.684,
1994-09,-3791.401,
1994-10,332.257,
1994-11,-1086.630,
1994-12,-4938.281,
1995-01,93.384,
1995-02,129.037,
1995-03,-2271.979,
1995-04,-265.593,
1995-05,-194.680,
1995-06,-446.274,
1995-07,4.546,
1995-08,211.781,
1995-09,-242.487,
1995-10,-299.920,
1995-11,-250.884,
1995-12,-627.932,
1996-01,1991.721,
1996-02,181.562,
1996-03,-98.065,
1996-04,508.370,
1996-05,155.668,
1996-06,-628.107,
1996-07,4564.871,
1996-08,864.171,
1996-09,-312.774,
1996-10,2017.535,
1996-11,413.910,
1996-12,293.615,
1997-01,1874.266,
1997-02,374.307,
1997-03,58.950,
1997-04,1415.746,
1997-05,80.335,
1997-06,443.090,
1997-07,180.418,
1997-08,104.899,
1997-09,759.694,
1997-10,-17.659,
1997-11,1110.058,
1997-12,-48.609,
1998-01,1507.337,
1998-02,1685.347,
1998-03,1042.273,
1998-04,-490.223,
1998-05,1901.272,
1998-06,227.841,
1998-07,1486.347,
1998-08,1518.465,
1998-09,1003.557,
1998-10,-1179.229,
1998-11,1670.769,
1998-12,-3647.915,
1999-01,-1455.519,
1999-02,2818.587,
1999-03,-136.773,
1999-04,1754.943,
1999-05,1555.935,
1999-06,2678.959,
1999-07,2101.062,
1999-08,6351.863,
1999-09,7714.341,
1999-10,154.193,
1999-11,13811.137,
1999-12,4767.283,
2000-01,-9393.287,
2000-02,2401.438,
2000-03,1438.050,
2000-04,2590.029,
2000-05,4710.501,
2000-06,4988.559,
2000-07,2325.404,
2000-08,-5526.683,
2000-09,2948.925,
2000-10,-439.344,
2000-11,-7275.995,
2000-12,1538.382,
2001-01,-759.994,
2001-02,-7731.495,
2001-03,-1979.948,
2001-04,-860.903,
2001-05,-714.412,
2001-06,-3343.524,
2001-07,3423.034,
2001-08,-244.745,
2001-09,-612.149,
2001-10,1589.034,
2001-11,610.985,
2001-12,-744.981,
2002-01,-5791.513,
2002-02,237.003,
2002-03,-1290.428,
2002-04,-1321.112,
2002-05,4733.793,
2002-06,6013.091,
2002-07,4480.896,
2002-08,8819.116,
2002-09,6912.637,
2002-10,1358.580,
2002-11,4318.844,
2002-12,-2449.971,
2003-01,8793.052,
2003-02,13582.308,
2003-03,1642.088,
2003-04,964.297,
2003-05,5866.138,
2003-06,-2970.797,
2003-07,-3596.625,
2003-08,-10306.318,
2003-09,2716.601,
2003-10,2448.734,
2003-11,687.941,
2003-12,-6152.571,
2004-01,-1211.258,
2004-02,-9302.669,
2004-03,4025.286,
2004-04,-393.730,
2004-05,-2044.187,
2004-06,270.757,
2004-07,806.241,
2004-08,399.152,
2004-09,-1194.489,
2004-10,-609.340,
2004-11,2432.092,
2004-12,-7542.758,
2005-01,8445.244,
2005-02,1488.400,
2005-03,-1126.459,
2005-04,3687.760,
2005-05,-4071.197,
2005-06,-2828.821,
2005-07,1758.775,
2005-08,-389.409,
2005-09,-2520.778,
2005-10,-1079.373,
2005-11,-2760.009,
2005-12,-3504.565,
2006-01,4700.430,
2006-02,685.279,
2006-03,2907.050,
2006-04,4811.089,
2006-05,500.791,
2006-06,-3943.306,
2006-07,-1747.282,
2006-08,2540.963,
2006-09,-3990.906,
2006-10,4222.412,
2006-11,698.475,
2006-12,-12828.766,
2007-01,7533.164,
2007-02,1252.301,
2007-03,1745.382,
2007-04,4838.316,
2007-05,4625.193,
2007-06,-4259.277,
