"",BBK01.CEHQN0,BBK01.CEHQN0_FLAGS
"",short-term time deposits debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:35,
1991-01,2.2,
1991-04,-17.6,
1991-07,-6.5,
1991-10,20.3,
1992-01,-0.9,
1992-04,-9.4,
1992-07,-11.6,
1992-10,32.3,
1993-01,14.4,
1993-04,5.9,
1993-07,12.2,
1993-10,42.5,
1994-01,-24.8,
1994-04,-21.0,
1994-07,-0.7,
1994-10,29.9,
1995-01,-3.9,
1995-04,14.7,
1995-07,3.9,
1995-10,-5.2,
1996-01,-13.2,
1996-04,-1.2,
1996-07,-11.0,
1996-10,27.9,
1997-01,7.4,
1997-04,-6.9,
1997-07,0.5,
1997-10,13.0,
1998-01,2.4,
1998-04,9.4,
1998-07,-10.6,
1998-10,36.0,
1999-01,-47.2,
1999-04,-11.0,
1999-07,13.7,
1999-10,4.4,
2000-01,4.8,
2000-04,-2.7,
2000-07,25.1,
2000-10,6.7,
2001-01,1.1,
2001-04,-24.7,
2001-07,25.8,
2001-10,38.8,
2002-01,-6.2,
2002-04,20.2,
2002-07,42.8,
2002-10,17.8,
2003-01,44.0,
2003-04,39.8,
2003-07,-22.5,
2003-10,27.1,
2004-01,15.0,
2004-04,19.8,
2004-07,4.7,
2004-10,87.5,
2005-01,-4.6,
2005-04,-0.9,
2005-07,26.7,
2005-10,3.6,
2006-01,28.2,
2006-04,43.4,
2006-07,-12.8,
2006-10,2.2,
2007-01,-13.5,
2007-04,48.4,
2007-07,3.2,
2007-10,29.0,
2008-01,-1.6,
2008-04,-31.7,
2008-07,-4.7,
2008-10,-58.8,
2009-01,-66.0,
2009-04,-8.9,
2009-07,-62.4,
2009-10,46.5,
2010-01,-32.9,
2010-04,-1.4,
2010-07,5.5,
2010-10,-35.3,
2011-01,-30.6,
2011-04,5.7,
2011-07,8.8,
2011-10,0.2,
2012-01,-23.1,
2012-04,-14.0,
2012-07,-23.1,
2012-10,-14.9,
2013-01,-2.7,
2013-04,-4.2,
2013-07,-24.9,
2013-10,18.5,
2014-01,40.9,
