"",BBFN1.M.DE.N.1.L.CA.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CA.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
2005-05,.,No value available
2005-06,.,No value available
2005-07,.,No value available
2005-08,.,No value available
2005-09,.,No value available
2005-10,.,No value available
2005-11,.,No value available
2005-12,.,No value available
2006-01,.,No value available
2006-02,.,No value available
2006-03,.,No value available
2006-04,.,No value available
2006-05,.,No value available
2006-06,.,No value available
2006-07,.,No value available
2006-08,.,No value available
2006-09,.,No value available
2006-10,.,No value available
2006-11,.,No value available
2006-12,.,No value available
2007-01,.,No value available
2007-02,.,No value available
2007-03,.,No value available
2007-04,.,No value available
2007-05,.,No value available
2007-06,.,No value available
2007-07,.,No value available
2007-08,.,No value available
2007-09,.,No value available
2007-10,0.000,
2007-11,.,No value available
2007-12,0.000,
2008-01,0.000,
2008-02,.,No value available
2008-03,.,No value available
2008-04,.,No value available
2008-05,.,No value available
2008-06,.,No value available
2008-07,.,No value available
2008-08,.,No value available
2008-09,.,No value available
2008-10,.,No value available
2008-11,.,No value available
2008-12,.,No value available
2009-01,.,No value available
2009-02,.,No value available
2009-03,0.000,
2009-04,0.000,
2009-05,0.000,
2009-06,0.000,
2009-07,0.000,
2009-08,.,No value available
2009-09,.,No value available
2009-10,.,No value available
2009-11,.,No value available
2009-12,.,No value available
2010-01,.,No value available
2010-02,.,No value available
2010-03,.,No value available
2010-04,.,No value available
2010-05,0.073,
2010-06,.,No value available
2010-07,0.262,
2010-08,0.254,
2010-09,0.272,
2010-10,0.261,
2010-11,0.256,
2010-12,0.263,
2011-01,0.252,
2011-02,0.245,
2011-03,0.244,
2011-04,0.237,
2011-05,0.229,
2011-06,0.229,
2011-07,0.220,
2011-08,0.195,
2011-09,0.195,
2011-10,0.205,
2011-11,0.201,
2011-12,0.209,
2012-01,0.205,
2012-02,0.194,
2012-03,0.167,
2012-04,0.166,
2012-05,0.166,
2012-06,0.175,
2012-07,0.168,
2012-08,0.170,
2012-09,.,No value available
2012-10,.,No value available
2012-11,.,No value available
2012-12,0.162,
2013-01,0.150,
2013-02,0.148,
2013-03,0.153,
2013-04,0.159,
2013-05,0.339,
2013-06,0.340,
2013-07,0.350,
2013-08,.,No value available
2013-09,0.347,
2013-10,0.345,
2013-11,0.343,
2013-12,0.345,
2014-01,0.336,
2014-02,0.338,
2014-03,0.155,
2014-04,0.155,
2014-05,0.289,
2014-06,0.291,
2014-07,0.284,
2014-08,0.287,
2014-09,0.290,
2014-10,0.293,
2014-11,0.297,
2014-12,0.323,
