"",BBK01.OELB05M,BBK01.OELB05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:07,
2002-01,27.179,
2002-04,27.552,
2002-07,27.774,
2002-10,27.809,
2003-01,27.675,
2003-04,27.994,
2003-07,28.293,
2003-10,28.311,
2004-01,28.281,
2004-04,28.470,
2004-07,28.611,
2004-10,28.729,
2005-01,28.728,
2005-04,28.958,
2005-07,29.280,
2005-10,29.384,
2006-01,29.603,
2006-04,30.074,
2006-07,30.397,
2006-10,30.382,
2007-01,30.472,
2007-04,30.750,
2007-07,31.049,
2007-10,31.200,
2008-01,31.262,
2008-04,31.611,
2008-07,32.098,
2008-10,32.139,
2009-01,32.410,
2009-04,32.858,
2009-07,33.191,
2009-10,33.466,
2010-01,33.801,
2010-04,34.489,
2010-07,35.080,
2010-10,35.447,
2011-01,35.894,
2011-04,36.637,
2011-07,37.223,
2011-10,37.655,
2012-01,38.114,
2012-04,40.656,
2012-07,41.240,
2012-10,41.487,
2013-01,41.704,
2013-04,42.173,
2013-07,42.533,
2013-10,42.818,
2014-01,43.206,
2014-04,43.892,
2014-07,44.519,
