"",BBK01.OEAE29L,BBK01.OEAE29L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:15,
2002-01,18.690,
2002-04,18.438,
2002-07,20.190,
2002-10,17.636,
2003-01,18.496,
2003-04,18.662,
2003-07,18.350,
2003-10,18.408,
2004-01,18.283,
2004-04,18.719,
2004-07,19.196,
2004-10,19.497,
2005-01,19.698,
2005-04,19.578,
2005-07,19.678,
2005-10,19.153,
2006-01,18.843,
2006-04,18.326,
2006-07,18.298,
2006-10,17.691,
2007-01,17.326,
2007-04,17.275,
2007-07,17.710,
2007-10,17.932,
2008-01,17.466,
2008-04,15.797,
2008-07,15.563,
2008-10,15.172,
2009-01,15.886,
2009-04,16.437,
2009-07,14.590,
2009-10,14.332,
2010-01,16.173,
2010-04,15.980,
2010-07,13.710,
2010-10,14.057,
2011-01,13.558,
2011-04,13.844,
2011-07,13.565,
2011-10,12.914,
2012-01,12.879,
2012-04,12.737,
2012-07,12.459,
2012-10,12.644,
2013-01,12.362,
2013-04,12.600,
2013-07,12.676,
2013-10,12.579,
2014-01,12.410,
2014-04,12.171,
2014-07,12.072,
