"",BBEX3.M.BRL.USD.CA.AB.A01,BBEX3.M.BRL.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Brazil * / USD 1 = BRL ... (selling),
unit,BRL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:21,
1994-07,0.9410,
1994-08,0.8890,
1994-09,0.8530,
1994-10,0.8460,
1994-11,0.8450,
1994-12,0.8460,
1995-01,0.8420,
1995-02,0.8515,
1995-03,0.8960,
1995-04,0.9130,
1995-05,0.9060,
1995-06,0.9220,
1995-07,0.9360,
1995-08,0.9510,
1995-09,0.9540,
1995-10,0.9619,
1995-11,0.9666,
1995-12,0.9725,
1996-01,0.9786,
1996-02,0.9842,
1996-03,0.9880,
1996-04,0.9925,
1996-05,0.9984,
1996-06,1.0044,
1996-07,1.0112,
1996-08,1.0169,
1996-09,1.0215,
1996-10,1.0276,
1996-11,1.0332,
1996-12,1.0394,
1997-01,1.0461,
1997-02,1.0515,
1997-03,1.0593,
1997-04,1.0638,
1997-05,1.0717,
1997-06,1.0769,
1997-07,1.0834,
1997-08,1.0916,
1997-09,1.0964,
1997-10,1.1031,
1997-11,1.1098,
1997-12,1.1164,
1998-01,1.1237,
1998-02,1.1304,
1998-03,1.1374,
1998-04,1.1443,
1998-05,1.1505,
1998-06,1.1569,
1998-07,1.1634,
1998-08,1.1769,
1998-09,1.1856,
1998-10,1.1932,
1998-11,1.2012,
1998-12,1.2087,
1999-01,1.9832,comment
1999-02,2.0648,
1999-03,1.7220,
1999-04,1.6607,
1999-05,1.7240,
1999-06,1.7695,
1999-07,1.7892,
1999-08,1.9159,
1999-09,1.9223,
1999-10,1.9530,
1999-11,1.9227,
1999-12,1.7890,
2000-01,1.8024,
2000-02,1.7685,
2000-03,1.7473,
2000-04,1.8067,
2000-05,1.8266,
2000-06,1.8000,
2000-07,1.7748,
2000-08,1.8234,
2000-09,1.8437,
2000-10,1.9090,
2000-11,1.9596,
2000-12,1.9554,
2001-01,1.9711,
2001-02,2.0452,
2001-03,2.1616,
2001-04,2.1847,
2001-05,2.3600,
2001-06,2.3049,
2001-07,2.4313,
2001-08,2.5517,
2001-09,2.6713,
2001-10,2.7071,
2001-11,2.5287,
2001-12,2.3204,
2002-01,2.4183,
2002-02,2.3482,
2002-03,2.3236,
2002-04,2.3625,
2002-05,2.5220,
2002-06,2.8444,
2002-07,3.4285,
2002-08,3.0223,
2002-09,3.8949,
2002-10,3.6450,
2002-11,3.6365,
2002-12,3.5333,
2003-01,3.5258,
2003-02,3.5632,
2003-03,3.3531,
2003-04,2.8898,
2003-05,2.9656,
2003-06,2.8720,
2003-07,2.9655,
2003-08,2.9665,
2003-09,2.9234,
2003-10,2.8562,
2003-11,2.9494,
2003-12,2.8892,
2004-01,2.9409,
2004-02,2.9138,
2004-03,2.9086,
2004-04,2.9447,
2004-05,3.1291,
2004-06,3.1075,
2004-07,3.0268,
2004-08,2.9338,
2004-09,2.8586,
2004-10,2.8565,
2004-11,2.7307,
2004-12,2.6544,
2005-01,2.6248,
2005-02,2.5950,
2005-03,2.6662,
2005-04,2.5313,
2005-05,2.4038,
2005-06,2.3504,
2005-07,2.3905,
2005-08,2.3637,
2005-09,2.2222,
2005-10,2.2543,
2005-11,2.2070,
2005-12,2.3407,
2006-01,2.2160,
2006-02,2.1355,
2006-03,2.1724,
2006-04,2.0892,
2006-05,2.3005,
2006-06,2.1643,
2006-07,2.1762,
2006-08,2.1388,
2006-09,2.1742,
2006-10,2.1430,
2006-11,2.1668,
2006-12,2.1380,
2007-01,2.1247,
2007-02,2.1182,
2007-03,2.0504,
2007-04,2.0339,
2007-05,1.9289,
2007-06,1.9262,
2007-07,1.8776,
2007-08,1.9620,
2007-09,1.8389,
2007-10,1.7440,
2007-11,1.7837,
2007-12,1.7713,
2008-01,1.7603,
2008-02,1.6833,
2008-03,1.7491,
2008-04,1.6872,
2008-05,1.6294,
2008-06,1.5919,
2008-07,1.5666,
2008-08,1.6344,
