"",BBK01.OEAD03G,BBK01.OEAD03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:27,
2002-01,1.385,
2002-04,1.354,
2002-07,1.338,
2002-10,1.271,
2003-01,1.280,
2003-04,1.276,
2003-07,1.199,
2003-10,1.183,
2004-01,1.227,
2004-04,1.216,
2004-07,1.189,
2004-10,1.234,
2005-01,1.256,
2005-04,1.350,
2005-07,1.295,
2005-10,1.222,
2006-01,1.275,
2006-04,1.379,
2006-07,1.351,
2006-10,1.388,
2007-01,1.393,
2007-04,1.489,
2007-07,1.450,
2007-10,1.494,
2008-01,1.503,
2008-04,1.545,
2008-07,1.599,
2008-10,1.544,
2009-01,1.483,
2009-04,1.492,
2009-07,1.448,
2009-10,1.401,
2010-01,1.349,
2010-04,1.364,
2010-07,1.382,
2010-10,1.353,
2011-01,1.406,
2011-04,1.417,
2011-07,1.386,
2011-10,1.360,
2012-01,1.443,
2012-04,1.436,
2012-07,1.448,
2012-10,1.389,
2013-01,1.420,
2013-04,1.427,
2013-07,1.461,
2013-10,1.419,
2014-01,1.461,
2014-04,1.484,
2014-07,1.484,
