"",BBEX3.M.TOP.USD.CM.AB.A01,BBEX3.M.TOP.USD.CM.AB.A01_FLAGS
2013-06,0.5375,
2013-07,0.5398,
2013-08,0.5297,
2013-09,0.5452,
2013-10,0.5468,
2013-11,0.5362,
2013-12,0.5313,
2014-01,0.5278,
2014-02,0.5344,
2014-03,0.5435,
2014-04,0.5418,
2014-05,0.5388,
2014-06,0.5467,
2014-07,0.5434,
2014-08,0.5356,
2014-09,0.5163,
2014-10,0.5127,
2014-11,0.5076,
2014-12,0.5029,
"","General: From 1999 to 2005 and since January 2015, only middle rates were reported; see BBEX3:M:TOP:USD:CM:AC:A01.",
"","Source: August 2006 - December 2014 Westpac Bank of Tonga, Nuku'alofa January 2006 - July 2006 Australia and New Zealand Banking Group (ANZ), Nuku'alofa 1991 - 1998 Bank of Tonga, Nuku'alofa",
