"",BBK01.OEHK03M,BBK01.OEHK03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:38,
2002-01,0.730,
2002-04,0.737,
2002-07,0.718,
2002-10,0.721,
2003-01,0.702,
2003-04,0.647,
2003-07,0.628,
2003-10,0.586,
2004-01,0.582,
2004-04,0.555,
2004-07,0.513,
2004-10,0.499,
2005-01,0.472,
2005-04,0.465,
2005-07,0.462,
2005-10,0.451,
2006-01,0.523,
2006-04,0.513,
2006-07,0.548,
2006-10,0.640,
2007-01,0.655,
2007-04,0.648,
2007-07,0.709,
2007-10,0.853,
2008-01,0.878,
2008-04,0.919,
2008-07,1.033,
2008-10,1.102,
2009-01,0.581,
2009-04,0.387,
2009-07,0.312,
2009-10,0.251,
2010-01,0.262,
2010-04,0.240,
2010-07,0.254,
2010-10,0.245,
2011-01,0.259,
2011-04,0.288,
2011-07,0.311,
2011-10,0.286,
2012-01,0.283,
2012-04,0.239,
2012-07,0.201,
2012-10,0.156,
2013-01,0.131,
2013-04,0.143,
2013-07,0.131,
2013-10,0.148,
2014-01,0.127,
2014-04,0.120,
2014-07,0.121,
