"",BBEX3.D.RON.EUR.BB.AC.000,BBEX3.D.RON.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = RON ... / Romania / from July 2005,
unit,RON (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 14:59:33,
2005-07-01,3.6030,
2005-07-02,.,No value available
2005-07-03,.,No value available
2005-07-04,3.6009,
2005-07-05,3.5963,
2005-07-06,3.5995,
2005-07-07,3.5904,
2005-07-08,3.5828,
2005-07-09,.,No value available
2005-07-10,.,No value available
2005-07-11,3.5760,
2005-07-12,3.5715,
2005-07-13,3.5669,
2005-07-14,3.5637,
2005-07-15,3.5659,
2005-07-16,.,No value available
2005-07-17,.,No value available
2005-07-18,3.5605,
2005-07-19,3.5592,
2005-07-20,3.5572,
2005-07-21,3.5618,
2005-07-22,3.5515,
2005-07-23,.,No value available
2005-07-24,.,No value available
2005-07-25,3.5525,
2005-07-26,3.5417,
2005-07-27,3.5215,
2005-07-28,3.5191,
2005-07-29,3.5164,
2005-07-30,.,No value available
2005-07-31,.,No value available
2005-08-01,3.5043,
2005-08-02,3.4779,
2005-08-03,3.4505,
2005-08-04,3.4381,
2005-08-05,3.4413,
2005-08-06,.,No value available
2005-08-07,.,No value available
2005-08-08,3.4279,
2005-08-09,3.4264,
2005-08-10,3.4232,
2005-08-11,3.4621,
2005-08-12,3.5781,
2005-08-13,.,No value available
2005-08-14,.,No value available
2005-08-15,3.5764,
2005-08-16,3.5645,
2005-08-17,3.5777,
2005-08-18,3.5660,
2005-08-19,3.5524,
2005-08-20,.,No value available
2005-08-21,.,No value available
2005-08-22,3.5196,
2005-08-23,3.5101,
2005-08-24,3.5008,
2005-08-25,3.5144,
2005-08-26,3.5359,
2005-08-27,.,No value available
2005-08-28,.,No value available
2005-08-29,3.5175,
2005-08-30,3.5062,
2005-08-31,3.5066,
2005-09-01,3.5093,
2005-09-02,3.5120,
2005-09-03,.,No value available
2005-09-04,.,No value available
2005-09-05,3.5036,
2005-09-06,3.4997,
2005-09-07,3.5005,
2005-09-08,3.4942,
2005-09-09,3.4679,
2005-09-10,.,No value available
2005-09-11,.,No value available
2005-09-12,3.4950,
2005-09-13,3.4905,
2005-09-14,3.4922,
2005-09-15,3.4807,
2005-09-16,3.4754,
2005-09-17,.,No value available
2005-09-18,.,No value available
2005-09-19,3.4794,
2005-09-20,3.4852,
2005-09-21,3.4873,
2005-09-22,3.5502,
2005-09-23,3.5549,
2005-09-24,.,No value available
2005-09-25,.,No value available
2005-09-26,3.5460,
2005-09-27,3.5323,
2005-09-28,3.5446,
2005-09-29,3.5527,
2005-09-30,3.5603,
2005-10-01,.,No value available
2005-10-02,.,No value available
2005-10-03,3.5522,
2005-10-04,3.5490,
2005-10-05,3.5594,
2005-10-06,3.5752,
2005-10-07,3.6008,
2005-10-08,.,No value available
2005-10-09,.,No value available
2005-10-10,3.6000,
2005-10-11,3.5872,
2005-10-12,3.5880,
2005-10-13,3.6123,
2005-10-14,3.6139,
2005-10-15,.,No value available
2005-10-16,.,No value available
2005-10-17,3.6092,
2005-10-18,3.5952,
2005-10-19,3.6062,
2005-10-20,3.6075,
2005-10-21,3.6067,
2005-10-22,.,No value available
2005-10-23,.,No value available
2005-10-24,3.5977,
2005-10-25,3.6094,
2005-10-26,3.6098,
2005-10-27,3.6175,
2005-10-28,3.6452,
2005-10-29,.,No value available
2005-10-30,.,No value available
2005-10-31,3.6512,
2005-11-01,3.6643,
2005-11-02,3.6559,
2005-11-03,3.6586,
2005-11-04,3.6623,
2005-11-05,.,No value available
2005-11-06,.,No value available
2005-11-07,3.6857,
2005-11-08,3.6768,
2005-11-09,3.6660,
2005-11-10,3.6290,
2005-11-11,3.6254,
2005-11-12,.,No value available
2005-11-13,.,No value available
2005-11-14,3.6389,
2005-11-15,3.6379,
2005-11-16,3.6387,
2005-11-17,3.6357,
2005-11-18,3.6452,
2005-11-19,.,No value available
2005-11-20,.,No value available
2005-11-21,3.6551,
2005-11-22,3.6642,
2005-11-23,3.6649,
2005-11-24,3.6618,
2005-11-25,3.6653,
2005-11-26,.,No value available
2005-11-27,.,No value available
2005-11-28,3.6547,
2005-11-29,3.6476,
2005-11-30,3.6598,
2005-12-01,3.6603,
2005-12-02,3.6624,
2005-12-03,.,No value available
2005-12-04,.,No value available
2005-12-05,3.6515,
2005-12-06,3.6560,
2005-12-07,3.6536,
2005-12-08,3.6480,
2005-12-09,3.6344,
2005-12-10,.,No value available
2005-12-11,.,No value available
2005-12-12,3.6438,
2005-12-13,3.6426,
2005-12-14,3.6524,
2005-12-15,3.6442,
2005-12-16,3.6569,
2005-12-17,.,No value available
2005-12-18,.,No value available
2005-12-19,3.6595,
2005-12-20,3.6566,
2005-12-21,3.6619,
2005-12-22,3.6599,
2005-12-23,3.6607,
2005-12-24,.,No value available
2005-12-25,.,No value available
2005-12-26,.,No value available
2005-12-27,3.6616,
2005-12-28,3.6982,
2005-12-29,3.6915,
2005-12-30,3.6802,
2005-12-31,.,No value available
2006-01-01,.,No value available
2006-01-02,3.6825,
2006-01-03,3.6717,
2006-01-04,3.6757,
2006-01-05,3.6831,
2006-01-06,3.6843,
2006-01-07,.,No value available
2006-01-08,.,No value available
2006-01-09,3.6645,
2006-01-10,3.6485,
2006-01-11,3.6285,
2006-01-12,3.6398,
2006-01-13,3.6308,
2006-01-14,.,No value available
2006-01-15,.,No value available
2006-01-16,3.6352,
2006-01-17,3.6467,
2006-01-18,3.6480,
2006-01-19,3.6417,
2006-01-20,3.6442,
2006-01-21,.,No value available
2006-01-22,.,No value available
2006-01-23,3.6339,
2006-01-24,3.6269,
2006-01-25,3.6332,
2006-01-26,3.6210,
2006-01-27,3.6216,
2006-01-28,.,No value available
2006-01-29,.,No value available
2006-01-30,3.6101,
2006-01-31,3.6160,
2006-02-01,3.6138,
2006-02-02,3.6055,
2006-02-03,3.6072,
2006-02-04,.,No value available
2006-02-05,.,No value available
2006-02-06,3.5982,
2006-02-07,3.5868,
2006-02-08,3.5820,
2006-02-09,3.5502,
2006-02-10,3.5403,
2006-02-11,.,No value available
2006-02-12,.,No value available
2006-02-13,3.5255,
2006-02-14,3.5303,
2006-02-15,3.5291,
2006-02-16,3.5200,
2006-02-17,3.5076,
2006-02-18,.,No value available
2006-02-19,.,No value available
2006-02-20,3.5030,
2006-02-21,3.4969,
2006-02-22,3.4975,
2006-02-23,3.5065,
2006-02-24,3.5053,
2006-02-25,.,No value available
2006-02-26,.,No value available
2006-02-27,3.4995,
2006-02-28,3.4802,
2006-03-01,3.4753,
2006-03-02,3.4782,
2006-03-03,3.4790,
2006-03-04,.,No value available
2006-03-05,.,No value available
2006-03-06,3.4813,
2006-03-07,3.4909,
2006-03-08,3.4945,
2006-03-09,3.4939,
2006-03-10,3.5040,
2006-03-11,.,No value available
2006-03-12,.,No value available
2006-03-13,3.5100,
2006-03-14,3.5449,
2006-03-15,3.5178,
2006-03-16,3.5210,
2006-03-17,3.5050,
2006-03-18,.,No value available
2006-03-19,.,No value available
2006-03-20,3.5075,
2006-03-21,3.5147,
2006-03-22,3.5325,
2006-03-23,3.5076,
2006-03-24,3.5107,
2006-03-25,.,No value available
2006-03-26,.,No value available
2006-03-27,3.5112,
2006-03-28,3.5251,
2006-03-29,3.5259,
2006-03-30,3.5201,
2006-03-31,3.5198,
2006-04-01,.,No value available
2006-04-02,.,No value available
2006-04-03,3.5158,
2006-04-04,3.5182,
2006-04-05,3.5172,
2006-04-06,3.5162,
2006-04-07,3.5090,
2006-04-08,.,No value available
2006-04-09,.,No value available
2006-04-10,3.5006,
2006-04-11,3.4912,
2006-04-12,3.4896,
2006-04-13,3.4904,
2006-04-14,.,No value available
2006-04-15,.,No value available
2006-04-16,.,No value available
2006-04-17,.,No value available
2006-04-18,3.4876,
2006-04-19,3.4802,
2006-04-20,3.4814,
2006-04-21,3.4609,
2006-04-22,.,No value available
2006-04-23,.,No value available
2006-04-24,3.4651,
2006-04-25,3.4570,
2006-04-26,3.4747,
2006-04-27,3.4750,
2006-04-28,3.4750,
2006-04-29,.,No value available
2006-04-30,.,No value available
2006-05-01,.,No value available
2006-05-02,3.4799,
2006-05-03,3.4641,
2006-05-04,3.4661,
2006-05-05,3.4689,
2006-05-06,.,No value available
2006-05-07,.,No value available
2006-05-08,3.4609,
2006-05-09,3.4662,
2006-05-10,3.4664,
2006-05-11,3.4642,
2006-05-12,3.4844,
2006-05-13,.,No value available
2006-05-14,.,No value available
2006-05-15,3.5436,
2006-05-16,3.5209,
2006-05-17,3.5078,
2006-05-18,3.5330,
2006-05-19,3.5215,
2006-05-20,.,No value available
2006-05-21,.,No value available
2006-05-22,3.5560,
2006-05-23,3.5458,
2006-05-24,3.5565,
2006-05-25,3.5408,
2006-05-26,3.5250,
2006-05-27,.,No value available
2006-05-28,.,No value available
2006-05-29,3.5175,
2006-05-30,3.5280,
2006-05-31,3.5400,
2006-06-01,3.5293,
2006-06-02,3.5193,
2006-06-03,.,No value available
2006-06-04,.,No value available
2006-06-05,3.5284,
2006-06-06,3.5180,
2006-06-07,3.5145,
2006-06-08,3.5235,
2006-06-09,3.5159,
2006-06-10,.,No value available
2006-06-11,.,No value available
2006-06-12,3.5277,
2006-06-13,3.5379,
2006-06-14,3.5242,
2006-06-15,3.5242,
2006-06-16,3.5249,
2006-06-17,.,No value available
2006-06-18,.,No value available
2006-06-19,3.5248,
2006-06-20,3.5250,
2006-06-21,3.5855,
2006-06-22,3.5923,
2006-06-23,3.6115,
2006-06-24,.,No value available
2006-06-25,.,No value available
2006-06-26,3.6335,
2006-06-27,3.5972,
2006-06-28,3.5884,
2006-06-29,3.5863,
2006-06-30,3.5703,
2006-07-01,.,No value available
2006-07-02,.,No value available
2006-07-03,3.5599,
2006-07-04,3.5586,
2006-07-05,3.5780,
2006-07-06,3.5956,
2006-07-07,3.5836,
2006-07-08,.,No value available
2006-07-09,.,No value available
2006-07-10,3.5880,
2006-07-11,3.5640,
2006-07-12,3.5743,
2006-07-13,3.5878,
2006-07-14,3.5933,
2006-07-15,.,No value available
2006-07-16,.,No value available
2006-07-17,3.5991,
2006-07-18,3.5857,
2006-07-19,3.5904,
2006-07-20,3.5628,
2006-07-21,3.5774,
2006-07-22,.,No value available
2006-07-23,.,No value available
2006-07-24,3.5640,
2006-07-25,3.5445,
2006-07-26,3.5455,
2006-07-27,3.5520,
2006-07-28,3.5520,
2006-07-29,.,No value available
2006-07-30,.,No value available
2006-07-31,3.5447,
2006-08-01,3.5481,
2006-08-02,3.5386,
2006-08-03,3.5338,
