"",BBK01.OELB06Q,BBK01.OELB06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:56,
2002-01,1.584,
2002-04,1.599,
2002-07,1.569,
2002-10,1.484,
2003-01,1.464,
2003-04,1.426,
2003-07,1.342,
2003-10,1.231,
2004-01,1.217,
2004-04,1.244,
2004-07,1.212,
2004-10,1.128,
2005-01,1.164,
2005-04,1.160,
2005-07,1.164,
2005-10,1.075,
2006-01,1.130,
2006-04,1.091,
2006-07,1.022,
2006-10,0.977,
2007-01,0.979,
2007-04,1.013,
2007-07,0.993,
2007-10,0.960,
2008-01,1.028,
2008-04,1.049,
2008-07,1.017,
2008-10,0.980,
2009-01,1.019,
2009-04,1.070,
2009-07,1.018,
2009-10,0.953,
2010-01,1.031,
2010-04,1.059,
2010-07,0.987,
2010-10,0.914,
2011-01,0.971,
2011-04,1.006,
2011-07,0.998,
2011-10,0.959,
2012-01,1.006,
2012-04,1.061,
2012-07,1.030,
2012-10,1.003,
2013-01,1.056,
2013-04,1.113,
2013-07,1.064,
2013-10,1.023,
2014-01,1.075,
2014-04,1.088,
2014-07,1.073,
