"",BBFB1.M.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Goods / Balance (Credits minus Debits) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:35,
1991-01,1.85,
1991-02,2.57,
1991-03,1.78,
1991-04,0.86,
1991-05,0.09,
1991-06,0.49,
1991-07,0.78,
1991-08,2.10,
1991-09,1.02,
1991-10,1.29,
1991-11,2.57,
1991-12,3.46,
1992-01,1.49,
1992-02,1.88,
1992-03,2.73,
1992-04,2.27,
1992-05,1.28,
1992-06,1.21,
1992-07,1.58,
1992-08,3.71,
1992-09,2.77,
1992-10,3.10,
1992-11,1.38,
1992-12,0.99,
1993-01,2.40,
1993-02,3.35,
1993-03,3.24,
1993-04,2.15,
1993-05,2.92,
1993-06,3.07,
1993-07,2.37,
1993-08,2.53,
1993-09,3.34,
1993-10,3.65,
1993-11,2.63,
1993-12,4.01,
1994-01,3.68,
1994-02,3.60,
1994-03,2.85,
1994-04,4.01,
1994-05,3.92,
1994-06,4.36,
1994-07,2.83,
1994-08,4.81,
1994-09,3.78,
1994-10,3.44,
1994-11,3.55,
1994-12,3.28,
1995-01,5.42,
1995-02,4.19,
1995-03,2.38,
1995-04,4.67,
1995-05,4.10,
1995-06,3.29,
1995-07,3.71,
1995-08,4.08,
1995-09,5.48,
1995-10,4.05,
1995-11,5.11,
1995-12,4.58,
1996-01,3.34,
1996-02,5.39,
1996-03,4.20,
1996-04,4.22,
1996-05,5.54,
1996-06,3.42,
1996-07,5.87,
1996-08,5.00,
1996-09,5.45,
1996-10,6.28,
1996-11,5.53,
1996-12,4.68,
1997-01,3.36,
1997-02,4.65,
1997-03,5.34,
1997-04,5.34,
1997-05,5.78,
1997-06,5.16,
1997-07,5.49,
1997-08,5.26,
1997-09,7.75,
1997-10,5.45,
1997-11,6.03,
1997-12,8.29,
1998-01,4.11,
1998-02,5.97,
1998-03,6.32,
1998-04,5.34,
1998-05,7.56,
1998-06,5.28,
1998-07,6.53,
1998-08,5.49,
1998-09,6.04,
1998-10,6.21,
1998-11,7.82,
1998-12,4.55,
1999-01,3.93,
1999-02,5.86,
1999-03,4.55,
1999-04,5.88,
1999-05,4.27,
1999-06,6.81,
1999-07,6.70,
1999-08,3.48,
1999-09,6.37,
1999-10,6.59,
1999-11,7.59,
1999-12,5.66,
2000-01,4.57,
2000-02,6.71,
2000-03,5.45,
2000-04,6.31,
2000-05,4.65,
2000-06,6.43,
2000-07,6.49,
2000-08,3.45,
2000-09,4.66,
2000-10,7.30,
2000-11,5.00,
2000-12,3.11,
2001-01,6.58,
2001-02,7.69,
2001-03,8.23,
2001-04,7.03,
2001-05,7.52,
2001-06,7.10,
2001-07,8.85,
2001-08,9.61,
2001-09,8.11,
2001-10,10.01,
2001-11,8.73,
2001-12,12.68,
2002-01,11.22,
2002-02,11.46,
2002-03,11.53,
2002-04,10.30,
2002-05,12.46,
2002-06,11.35,
2002-07,12.19,
2002-08,12.18,
2002-09,13.42,
2002-10,12.38,
2002-11,13.69,
2002-12,11.31,
2003-01,8.92,
2003-02,10.40,
2003-03,8.85,
2003-04,9.57,
2003-05,10.76,
2003-06,9.88,
2003-07,11.77,
2003-08,12.51,
2003-09,13.66,
2003-10,11.02,
2003-11,11.75,
2003-12,12.26,
2004-01,12.35,
2004-02,11.82,
2004-03,13.49,
2004-04,14.25,
2004-05,16.00,
2004-06,13.08,
2004-07,12.31,
2004-08,12.26,
2004-09,11.06,
2004-10,12.50,
2004-11,11.18,
2004-12,11.16,
2005-01,13.62,
2005-02,13.64,
2005-03,14.17,
2005-04,11.04,
2005-05,13.08,
2005-06,13.42,
2005-07,12.97,
2005-08,13.85,
2005-09,14.31,
2005-10,12.44,
2005-11,12.50,
2005-12,10.90,
2006-01,12.25,
2006-02,13.55,
2006-03,9.97,
2006-04,13.02,
2006-05,11.53,
2006-06,10.81,
2006-07,12.24,
2006-08,13.21,
2006-09,15.33,
2006-10,17.73,
2006-11,16.72,
2006-12,14.95,
2007-01,16.19,
2007-02,14.56,
2007-03,15.74,
2007-04,16.25,
2007-05,17.22,
2007-06,15.89,
2007-07,16.98,
2007-08,16.96,
2007-09,19.40,
2007-10,17.97,
2007-11,19.29,
2007-12,16.57,
2008-01,17.80,
2008-02,16.17,
2008-03,17.38,
2008-04,17.41,
2008-05,15.49,
2008-06,18.08,
2008-07,13.03,
2008-08,15.02,
2008-09,14.16,
2008-10,16.33,
2008-11,9.73,
2008-12,11.87,
2009-01,8.98,
2009-02,8.83,
2009-03,8.85,
2009-04,10.34,
2009-05,10.86,
2009-06,12.42,
2009-07,14.29,
2009-08,11.74,
2009-09,10.01,
2009-10,12.54,
2009-11,14.50,
2009-12,16.50,
2010-01,10.87,
