"",BBK01.OEHM02G,BBK01.OEHM02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:29,
2002-01,0.975,
2002-04,0.838,
2002-07,0.802,
2002-10,1.220,
2003-01,0.933,
2003-04,0.926,
2003-07,0.983,
2003-10,1.233,
2004-01,0.940,
2004-04,1.004,
2004-07,1.136,
2004-10,1.210,
2005-01,0.951,
2005-04,1.032,
2005-07,1.015,
2005-10,1.195,
2006-01,0.903,
2006-04,1.048,
2006-07,1.075,
2006-10,1.361,
2007-01,1.048,
2007-04,1.226,
2007-07,1.308,
2007-10,1.599,
2008-01,1.413,
2008-04,1.553,
2008-07,1.598,
2008-10,1.767,
2009-01,2.222,
2009-04,2.257,
2009-07,2.326,
2009-10,2.456,
2010-01,2.247,
2010-04,2.319,
2010-07,2.380,
2010-10,2.545,
2011-01,2.092,
2011-04,2.243,
2011-07,2.049,
2011-10,2.611,
2012-01,2.387,
2012-04,2.956,
2012-07,3.427,
2012-10,3.810,
2013-01,3.293,
2013-04,3.621,
2013-07,3.554,
2013-10,3.693,
2014-01,3.180,
2014-04,3.908,
2014-07,3.244,
