"",BBFB1.Q.N.DE.I7.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.I7.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:46,
1991-01,-49.005,
1991-04,-30.141,
1991-07,73.319,
1991-10,-4.197,
1992-01,-43.592,
1992-04,10.424,
1992-07,24.014,
1992-10,-336.029,
1993-01,-101.187,
1993-04,-27.442,
1993-07,65.615,
1993-10,-71.806,
1994-01,-457.866,
1994-04,-937.774,
1994-07,-225.526,
1994-10,-279.169,
1995-01,50.018,
1995-04,-283.554,
1995-07,-16.172,
1995-10,-97.633,
1996-01,2.901,
1996-04,-292.720,
1996-07,22.226,
1996-10,244.140,
1997-01,-787.108,
1997-04,210.823,
1997-07,1712.298,
1997-10,-524.165,
1998-01,804.224,
1998-04,486.611,
1998-07,440.964,
1998-10,-539.846,
1999-01,-239.935,
1999-04,124.954,
1999-07,-229.584,
1999-10,1804.464,
2000-01,509.158,
2000-04,213.051,
2000-07,99.013,
2000-10,776.130,
2001-01,3326.657,
2001-04,-4095.777,
2001-07,1569.888,
2001-10,-1211.832,
2002-01,261.456,
2002-04,4307.951,
2002-07,2921.159,
2002-10,-863.788,
2003-01,1232.923,
2003-04,3902.480,
2003-07,363.315,
2003-10,906.910,
2004-01,-1978.531,
2004-04,733.108,
2004-07,63.858,
2004-10,822.452,
2005-01,-21.905,
2005-04,3084.378,
2005-07,-5592.792,
2005-10,2973.582,
2006-01,4121.137,
2006-04,-1112.995,
2006-07,2281.148,
2006-10,-950.857,
2007-01,7191.708,
2007-04,10875.164,
2007-07,28875.502,
2007-10,28447.003,
2008-01,16711.339,
2008-04,7818.966,
2008-07,1792.558,
2008-10,1310.663,
2009-01,-15150.024,
2009-04,-10463.063,
2009-07,-3195.503,
2009-10,-2533.097,
2010-01,5634.314,
2010-04,5267.055,
2010-07,2835.167,
2010-10,8585.067,
2011-01,7306.745,
2011-04,10133.161,
2011-07,5073.686,
2011-10,3629.329,
2012-01,-1812.582,
2012-04,4991.471,
2012-07,130.152,
2012-10,746.211,
2013-01,2486.062,
2013-04,-837.845,
2013-07,-2737.813,
2013-10,-1504.366,
2014-01,1811.461,Provisional value
2014-04,2453.646,Provisional value
2014-07,1851.239,Provisional value
2014-10,2936.517,Provisional value
