"",BBK01.OECB06G,BBK01.OECB06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:43,
2002-01,6.836,
2002-04,6.784,
2002-07,6.971,
2002-10,6.502,
2003-01,5.641,
2003-04,5.779,
2003-07,5.853,
2003-10,5.455,
2004-01,5.488,
2004-04,5.377,
2004-07,5.084,
2004-10,4.701,
2005-01,4.633,
2005-04,5.528,
2005-07,4.642,
2005-10,3.973,
2006-01,4.663,
2006-04,5.031,
2006-07,4.770,
2006-10,4.351,
2007-01,4.815,
2007-04,5.172,
2007-07,5.233,
2007-10,5.113,
2008-01,5.534,
2008-04,5.863,
2008-07,6.106,
2008-10,5.941,
2009-01,7.298,
2009-04,6.718,
2009-07,6.346,
2009-10,4.968,
2010-01,5.351,
2010-04,5.237,
2010-07,4.627,
2010-10,4.221,
2011-01,4.608,
2011-04,5.004,
2011-07,4.907,
2011-10,4.458,
2012-01,4.832,
2012-04,5.350,
2012-07,4.837,
2012-10,4.596,
2013-01,5.247,
2013-04,5.142,
2013-07,4.864,
2013-10,4.846,
2014-01,5.212,
2014-04,5.359,
2014-07,5.160,
