"",BBK01.OEYJ01G,BBK01.OEYJ01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:26,
2002-01,37.365,
2002-04,38.288,
2002-07,37.324,
2002-10,38.351,
2003-01,40.272,
2003-04,39.270,
2003-07,41.985,
2003-10,40.367,
2004-01,42.559,
2004-04,42.679,
2004-07,43.152,
2004-10,42.116,
2005-01,44.524,
2005-04,46.255,
2005-07,55.016,
2005-10,53.887,
2006-01,55.210,
2006-04,56.142,
2006-07,59.441,
2006-10,58.841,
2007-01,63.815,
2007-04,65.717,
2007-07,66.887,
2007-10,65.929,
2008-01,63.490,
2008-04,72.663,
2008-07,83.990,
2008-10,82.530,
2009-01,89.372,
2009-04,99.269,
2009-07,98.668,
2009-10,100.331,
2010-01,95.420,
2010-04,94.821,
2010-07,95.923,
2010-10,91.988,
2011-01,96.873,
2011-04,93.576,
2011-07,96.362,
2011-10,86.589,
2012-01,90.652,
2012-04,77.015,
2012-07,72.694,
2012-10,65.019,
2013-01,66.739,
2013-04,62.845,
2013-07,51.536,
2013-10,50.560,
2014-01,51.244,
2014-04,49.721,
2014-07,45.392,
