"",BBK01.OEXJ10H,BBK01.OEXJ10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:18,
2002-01,0.046,
2002-04,0.051,
2002-07,0.052,
2002-10,0.040,
2003-01,0.042,
2003-04,0.041,
2003-07,0.047,
2003-10,0.046,
2004-01,0.040,
2004-04,0.026,
2004-07,0.024,
2004-10,0.023,
2005-01,0.023,
2005-04,0.010,
2005-07,0.010,
2005-10,0.553,
2006-01,0.011,
2006-04,0.011,
2006-07,0.012,
2006-10,0.012,
2007-01,0.010,
2007-04,0.013,
2007-07,0.012,
2007-10,0.013,
2008-01,0.013,
2008-04,0.014,
2008-07,0.015,
2008-10,0.015,
2009-01,0.015,
2009-04,0.015,
2009-07,0.015,
2009-10,0.015,
2010-01,0.037,
2010-04,0.038,
2010-07,0.037,
2010-10,0.038,
2011-01,0.037,
2011-04,0.038,
2011-07,0.038,
2011-10,0.038,
2012-01,0.038,
2012-04,0.039,
2012-07,0.039,
2012-10,0.039,
2013-01,0.039,
2013-04,0.040,
2013-07,0.040,
2013-10,0.040,
2014-01,0.040,
2014-04,0.041,
2014-07,0.004,
