"",BBK01.OEBI03M,BBK01.OEBI03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:27,
2002-01,7.746,
2002-04,7.578,
2002-07,7.817,
2002-10,7.888,
2003-01,8.205,
2003-04,7.909,
2003-07,7.189,
2003-10,6.864,
2004-01,6.779,
2004-04,6.965,
2004-07,7.127,
2004-10,7.500,
2005-01,7.678,
2005-04,7.789,
2005-07,7.017,
2005-10,7.084,
2006-01,7.142,
2006-04,7.375,
2006-07,7.427,
2006-10,7.547,
2007-01,7.873,
2007-04,7.980,
2007-07,9.199,
2007-10,10.176,
2008-01,11.376,
2008-04,12.200,
2008-07,13.163,
2008-10,17.450,
2009-01,16.037,
2009-04,15.754,
2009-07,13.639,
2009-10,11.414,
2010-01,9.879,
2010-04,9.045,
2010-07,8.343,
2010-10,10.402,
2011-01,9.632,
2011-04,9.661,
2011-07,10.578,
2011-10,12.016,
2012-01,12.313,
2012-04,13.933,
2012-07,14.175,
2012-10,14.175,
2013-01,13.869,
2013-04,15.023,
2013-07,14.127,
2013-10,12.928,
2014-01,12.600,
2014-04,16.112,
2014-07,14.985,
