"",BBK01.OELB23H,BBK01.OELB23H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:28,
2002-01,0.083,
2002-04,0.077,
2002-07,0.065,
2002-10,0.069,
2003-01,0.073,
2003-04,0.072,
2003-07,0.074,
2003-10,0.073,
2004-01,0.074,
2004-04,0.074,
2004-07,0.068,
2004-10,0.078,
2005-01,0.078,
2005-04,0.066,
2005-07,0.066,
2005-10,0.066,
2006-01,0.069,
2006-04,0.074,
2006-07,0.077,
2006-10,0.084,
2007-01,0.085,
2007-04,0.094,
2007-07,0.107,
2007-10,0.108,
2008-01,0.112,
2008-04,0.105,
2008-07,0.106,
2008-10,0.112,
2009-01,0.104,
2009-04,0.116,
2009-07,0.121,
2009-10,0.118,
2010-01,0.112,
2010-04,0.115,
2010-07,0.118,
2010-10,0.113,
2011-01,0.107,
2011-04,0.106,
2011-07,0.113,
2011-10,0.109,
2012-01,0.106,
2012-04,0.096,
2012-07,0.098,
2012-10,0.095,
2013-01,0.087,
2013-04,0.086,
2013-07,0.087,
2013-10,0.073,
2014-01,0.070,
2014-04,0.080,
2014-07,0.083,
