"",BBK01.OEHL06T,BBK01.OEHL06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:05,
2002-01,1.311,
2002-04,1.326,
2002-07,1.329,
2002-10,1.338,
2003-01,1.327,
2003-04,1.298,
2003-07,1.294,
2003-10,1.299,
2004-01,1.296,
2004-04,1.309,
2004-07,1.273,
2004-10,1.282,
2005-01,1.252,
2005-04,1.236,
2005-07,1.192,
2005-10,1.216,
2006-01,1.220,
2006-04,1.222,
2006-07,1.232,
2006-10,1.239,
2007-01,1.236,
2007-04,1.248,
2007-07,1.275,
2007-10,1.368,
2008-01,1.415,
2008-04,1.423,
2008-07,1.442,
2008-10,1.403,
2009-01,1.339,
2009-04,1.262,
2009-07,1.176,
2009-10,1.107,
2010-01,1.080,
2010-04,1.043,
2010-07,1.016,
2010-10,0.995,
2011-01,1.004,
2011-04,1.008,
2011-07,0.989,
2011-10,1.000,
2012-01,0.974,
2012-04,0.954,
2012-07,0.895,
2012-10,0.820,
2013-01,0.729,
2013-04,0.707,
2013-07,0.664,
2013-10,0.653,
2014-01,0.625,
2014-04,0.575,
2014-07,0.539,
