"",BBK01.OEHM08M,BBK01.OEHM08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:10,
2002-01,0.128,
2002-04,0.117,
2002-07,0.120,
2002-10,0.113,
2003-01,0.119,
2003-04,0.120,
2003-07,0.123,
2003-10,0.124,
2004-01,0.120,
2004-04,0.113,
2004-07,0.108,
2004-10,0.118,
2005-01,0.110,
2005-04,0.114,
2005-07,0.106,
2005-10,0.111,
2006-01,0.112,
2006-04,0.109,
2006-07,0.107,
2006-10,0.109,
2007-01,0.087,
2007-04,0.081,
2007-07,0.077,
2007-10,0.071,
2008-01,0.079,
2008-04,0.069,
2008-07,0.069,
2008-10,0.082,
2009-01,0.095,
2009-04,0.105,
2009-07,0.102,
2009-10,0.109,
2010-01,0.125,
2010-04,0.129,
2010-07,0.122,
2010-10,0.119,
2011-01,0.087,
2011-04,0.086,
2011-07,0.086,
2011-10,0.089,
2012-01,0.092,
2012-04,0.087,
2012-07,0.090,
2012-10,0.091,
2013-01,0.092,
2013-04,0.093,
2013-07,0.092,
2013-10,0.096,
2014-01,0.091,
2014-04,0.079,
2014-07,0.085,
