"",BBK01.OUH050,BBK01.OUH050_FLAGS
"",Time deposits of non-profit institutions / Total / Savings banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:20:54,
1968-12,0.103,
1969-01,0.107,
1969-02,0.110,
1969-03,0.111,
1969-04,0.113,
1969-05,0.117,
1969-06,0.114,
1969-07,0.116,
1969-08,0.122,
1969-09,0.121,
1969-10,0.128,
1969-11,0.128,
1969-12,0.152,
1970-01,0.168,
1970-02,0.187,
1970-03,0.196,
1970-04,0.218,
1970-05,0.235,
1970-06,0.246,
1970-07,0.271,
1970-08,0.280,
1970-09,0.270,
1970-10,0.271,
1970-11,0.268,
1970-12,0.265,
1971-01,0.296,
1971-02,0.304,
1971-03,0.297,
1971-04,0.303,
1971-05,0.302,
1971-06,0.290,
1971-07,0.292,
1971-08,0.311,
1971-09,0.311,
1971-10,0.326,
1971-11,0.318,
1971-12,0.330,
1972-01,0.313,
1972-02,0.323,
1972-03,0.327,
1972-04,0.320,
1972-05,0.333,
1972-06,0.338,
1972-07,0.331,
1972-08,0.340,
1972-09,0.347,
1972-10,0.354,
1972-11,0.349,
1972-12,0.359,
1973-01,0.370,
1973-02,0.402,
1973-03,0.381,
1973-04,0.409,
1973-05,0.443,
1973-06,0.466,
1973-07,0.483,
1973-08,0.531,
1973-09,0.536,
1973-10,0.555,
1973-11,0.545,
1973-12,0.559,
1974-01,0.598,
1974-02,0.623,
1974-03,0.635,
1974-04,0.652,
1974-05,0.675,
1974-06,0.652,
1974-07,0.669,
1974-08,0.709,
1974-09,0.721,
1974-10,0.722,
1974-11,0.680,
1974-12,0.673,
1975-01,0.729,
1975-02,0.719,
1975-03,0.698,
1975-04,0.661,
1975-05,0.622,
1975-06,0.595,
1975-07,0.606,
1975-08,0.572,
1975-09,0.561,
1975-10,0.546,
1975-11,0.500,
1975-12,0.541,
1976-01,0.537,
1976-02,0.534,
1976-03,0.550,
1976-04,0.555,
1976-05,0.572,
1976-06,0.576,
1976-07,0.564,
1976-08,0.576,
1976-09,0.578,
1976-10,0.572,
1976-11,0.541,
1976-12,0.615,
1977-01,0.604,
1977-02,0.615,
1977-03,0.634,
1977-04,0.626,
1977-05,0.667,
1977-06,0.661,
1977-07,0.655,
1977-08,0.665,
1977-09,0.676,
1977-10,0.660,
1977-11,0.617,
1977-12,0.650,
1978-01,0.637,
1978-02,0.642,
1978-03,0.653,
1978-04,0.678,
1978-05,0.672,
1978-06,0.676,
1978-07,0.672,
1978-08,0.685,
1978-09,0.718,
1978-10,0.734,
1978-11,0.678,
1978-12,0.722,
1979-01,0.749,
1979-02,0.786,
1979-03,0.809,
1979-04,0.783,
1979-05,0.821,
1979-06,0.834,
1979-07,0.830,
1979-08,0.849,
1979-09,0.883,
1979-10,0.886,
1979-11,0.854,
1979-12,0.917,
1980-01,0.943,
1980-02,0.992,
1980-03,1.031,
1980-04,1.003,
1980-05,1.066,
1980-06,1.087,
1980-07,1.107,
1980-08,1.150,
1980-09,1.165,
1980-10,1.144,
1980-11,1.091,
1980-12,1.162,
1981-01,1.169,
1981-02,1.246,
1981-03,1.261,
1981-04,1.275,
1981-05,1.355,
1981-06,1.361,
1981-07,1.359,
1981-08,1.411,
1981-09,1.450,
1981-10,1.449,
1981-11,1.363,
1981-12,1.417,
1982-01,1.397,
1982-02,1.464,
1982-03,1.487,
