"",BBAI3.Q.DE.N.V.LE.F511.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:47,
2005-10,861,
2006-01,999,
2006-04,984,
2006-07,1072,
2006-10,1145,
2007-01,1226,
2007-04,1339,
2007-07,1157,
2007-10,1044,
2008-01,967,
2008-04,711,
2008-07,670,
2008-10,617,
2009-01,510,
2009-04,509,
2009-07,539,
2009-10,565,
2010-01,581,
2010-04,579,
2010-07,689,
2010-10,803,
2011-01,449,
2011-04,435,
2011-07,475,
2011-10,359,
2012-01,398,
2012-04,384,
2012-07,403,
2012-10,543,
2013-01,530,
2013-04,164,
2013-07,312,
2013-10,359,
2014-01,377,
2014-04,351,
2014-07,344,
