"",BBK01.OELI01Q,BBK01.OELI01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:30,
2002-01,10.654,
2002-04,10.525,
2002-07,10.542,
2002-10,10.853,
2003-01,10.598,
2003-04,9.379,
2003-07,10.780,
2003-10,10.911,
2004-01,10.750,
2004-04,10.864,
2004-07,10.769,
2004-10,10.824,
2005-01,10.489,
2005-04,10.563,
2005-07,10.524,
2005-10,10.893,
2006-01,10.599,
2006-04,10.755,
2006-07,11.059,
2006-10,10.974,
2007-01,10.800,
2007-04,10.714,
2007-07,10.629,
2007-10,10.921,
2008-01,10.619,
2008-04,10.561,
2008-07,10.443,
2008-10,11.097,
2009-01,10.938,
2009-04,10.994,
2009-07,11.297,
2009-10,11.580,
2010-01,11.585,
2010-04,11.913,
2010-07,12.175,
2010-10,12.513,
2011-01,12.238,
2011-04,12.337,
2011-07,12.509,
2011-10,12.899,
2012-01,12.770,
2012-04,12.898,
2012-07,13.281,
2012-10,13.469,
2013-01,13.613,
2013-04,13.661,
2013-07,13.919,
2013-10,14.181,
2014-01,14.188,
2014-04,14.128,
2014-07,14.318,
