"",BBFN1.M.DE.N.1.A.VN.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.VN.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Vietnam,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:00,
1995-01,0.002,
1995-02,0.003,
1995-03,0.002,
1995-04,0.003,
1995-05,0.003,
1995-06,0.002,
1995-07,0.004,
1995-08,0.003,
1995-09,0.002,
1995-10,0.003,
1995-11,0.004,
1995-12,0.002,
1996-01,0.002,
1996-02,0.004,
1996-03,0.005,
1996-04,0.005,
1996-05,0.004,
1996-06,0.005,
1996-07,0.004,
1996-08,0.004,
1996-09,0.004,
1996-10,0.003,
1996-11,0.004,
1996-12,0.004,
1997-01,0.004,
1997-02,0.004,
1997-03,0.005,
1997-04,0.004,
1997-05,0.004,
1997-06,0.003,
1997-07,0.003,
1997-08,0.003,
1997-09,0.004,
1997-10,0.006,
1997-11,0.005,
1997-12,0.009,
1998-01,0.010,
1998-02,0.011,
1998-03,0.011,
1998-04,0.009,
1998-05,0.011,
1998-06,0.012,
1998-07,0.012,
1998-08,0.011,
1998-09,0.012,
1998-10,0.011,
1998-11,0.011,
1998-12,0.012,
1999-01,0.012,
1999-02,0.015,
1999-03,0.015,
1999-04,0.021,
1999-05,0.021,
1999-06,0.020,
1999-07,0.020,
1999-08,0.020,
1999-09,0.023,
1999-10,0.023,
1999-11,0.023,
1999-12,0.027,
2000-01,0.027,
2000-02,0.028,
2000-03,0.027,
2000-04,0.029,
2000-05,0.030,
2000-06,0.029,
2000-07,0.031,
2000-08,0.031,
2000-09,0.029,
2000-10,0.028,
2000-11,0.028,
2000-12,0.028,
2001-01,0.028,
2001-02,0.030,
2001-03,0.027,
2001-04,0.028,
2001-05,0.028,
2001-06,0.030,
2001-07,0.030,
2001-08,0.029,
2001-09,0.029,
2001-10,0.028,
2001-11,0.028,
2001-12,0.030,
2002-01,0.030,
2002-02,0.030,
2002-03,0.029,
2002-04,0.028,
2002-05,0.028,
2002-06,0.035,
2002-07,0.035,
2002-08,0.033,
2002-09,0.026,
2002-10,0.032,
2002-11,0.028,
2002-12,0.026,
2003-01,0.032,
2003-02,0.028,
2003-03,0.026,
2003-04,0.029,
2003-05,0.027,
2003-06,0.027,
2003-07,0.024,
2003-08,0.023,
2003-09,0.024,
2003-10,0.027,
2003-11,0.029,
2003-12,0.025,
2004-01,0.029,
2004-02,0.026,
2004-03,0.027,
2004-04,0.026,
2004-05,0.028,
2004-06,0.028,
2004-07,0.027,
2004-08,0.025,
2004-09,0.023,
2004-10,0.019,
2004-11,0.023,
2004-12,0.021,
2005-01,0.022,
2005-02,0.023,
2005-03,0.021,
2005-04,0.022,
2005-05,0.021,
2005-06,0.023,
2005-07,0.023,
2005-08,0.023,
2005-09,0.023,
2005-10,0.023,
2005-11,0.027,
2005-12,0.026,
2006-01,0.029,
2006-02,0.028,
2006-03,0.031,
2006-04,0.030,
2006-05,0.031,
2006-06,0.031,
2006-07,0.030,
2006-08,0.032,
2006-09,0.032,
2006-10,0.034,
2006-11,0.036,
2006-12,0.043,
2007-01,0.052,
2007-02,0.056,
2007-03,0.049,
2007-04,0.035,
2007-05,0.036,
2007-06,0.039,
2007-07,0.040,
2007-08,0.044,
2007-09,0.042,
2007-10,0.042,
2007-11,0.044,
2007-12,0.046,
2008-01,0.053,
2008-02,0.061,
2008-03,0.059,
2008-04,0.061,
2008-05,0.061,
2008-06,0.058,
2008-07,0.041,
2008-08,0.042,
2008-09,0.043,
2008-10,0.044,
2008-11,0.043,
2008-12,0.042,
2009-01,0.044,
2009-02,0.046,
2009-03,0.040,
2009-04,0.045,
2009-05,0.042,
2009-06,0.034,
2009-07,0.039,
2009-08,0.038,
2009-09,0.041,
2009-10,0.044,
2009-11,0.042,
2009-12,0.046,
2010-01,0.045,
2010-02,0.044,
2010-03,0.045,
2010-04,0.047,
2010-05,0.047,
2010-06,0.055,
2010-07,0.071,
2010-08,0.071,
2010-09,0.083,
2010-10,0.084,
2010-11,0.087,
2010-12,0.093,
2011-01,0.089,
2011-02,0.091,
2011-03,0.093,
2011-04,0.091,
2011-05,0.095,
2011-06,0.097,
2011-07,0.113,
2011-08,0.114,
2011-09,0.119,
2011-10,0.118,
2011-11,0.122,
2011-12,0.142,
2012-01,0.168,
2012-02,0.166,
2012-03,0.170,
2012-04,0.170,
2012-05,0.176,
2012-06,0.176,
2012-07,0.184,
2012-08,0.188,
2012-09,0.180,
2012-10,0.178,
2012-11,0.181,
2012-12,0.171,
2013-01,0.170,
2013-02,0.173,
2013-03,0.177,
2013-04,0.173,
2013-05,0.180,
2013-06,0.183,
2013-07,0.172,
2013-08,0.187,
2013-09,0.195,
2013-10,0.187,
2013-11,0.188,
2013-12,0.191,
2014-01,0.188,
2014-02,0.191,
2014-03,0.183,
2014-04,0.178,
2014-05,0.178,
2014-06,0.176,
2014-07,0.184,
2014-08,0.171,
2014-09,0.170,
2014-10,0.154,
2014-11,0.156,
2014-12,0.153,
