"",BBEX3.M.FJD.EUR.CM.AB.A01,BBEX3.M.FJD.EUR.CM.AB.A01_FLAGS
"",Exchange rates for the euro in Fiji / FJD 1 = EUR ... (selling),
unit,EUR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:20,
1999-01,0.4386,comment
1999-02,0.4492,
1999-03,0.4610,
1999-04,0.4785,
1999-05,0.4784,
1999-06,0.4839,
1999-07,0.4686,
1999-08,0.4727,
1999-09,0.4735,
1999-10,0.4767,
1999-11,0.4934,
1999-12,0.5008,
2000-01,0.5000,
2000-02,0.4949,
2000-03,0.5038,
2000-04,0.5180,
2000-05,0.5000,
2000-06,0.4998,
2000-07,0.5042,
2000-08,0.5120,
2000-09,0.5061,
2000-10,0.5169,
2000-11,0.5061,
2000-12,0.4866,
2001-01,0.4853,
2001-02,0.4810,
2001-03,0.4795,
2001-04,0.4814,
2001-05,0.5019,
2001-06,0.5024,
2001-07,0.4878,
2001-08,0.4847,
2001-09,0.4608,
2001-10,0.4746,
2001-11,0.4858,
2001-12,0.4844,
2002-01,0.4927,
2002-02,0.4940,
2002-03,0.4990,
2002-04,0.4915,
2002-05,0.4916,
2002-06,0.4726,
2002-07,0.4646,
2002-08,0.4674,
2002-09,0.4651,
2002-10,0.4691,
2002-11,0.4697,
2002-12,0.4565,
2003-01,0.4550,
2003-02,0.4647,
2003-03,0.4593,
2003-04,0.4570,
2003-05,0.4413,
2003-06,0.4612,
2003-07,0.4598,
2003-08,0.4738,
2003-09,0.4625,
2003-10,0.4707,
2003-11,0.4696,
2003-12,0.4569,
2004-01,0.4669,
2004-02,0.4697,
2004-03,0.4716,
2004-04,0.4690,
2004-05,0.4552,
2004-06,0.4547,
2004-07,0.4576,
2004-08,0.4599,
2004-09,0.4573,
2004-10,0.4539,
2004-11,0.4517,
2004-12,0.4402,
2005-01,0.4555,
2005-02,0.4531,
2005-03,0.4573,
2005-04,0.4628,
2005-05,0.4696,
2005-06,0.4811,
2005-07,0.4764,
2005-08,0.4716,
2005-09,0.4806,
2005-10,0.4784,
2005-11,0.4842,
2005-12,0.4781,
2006-01,0.4723,
2006-02,0.4750,
2006-03,0.4519,
2006-04,0.4520,
2006-05,0.4453,
2006-06,0.4404,
2006-07,0.4458,
2006-08,0.4464,
2006-09,0.4489,
2006-10,0.4540,
2006-11,0.4494,comment
2006-12,0.4499,
2007-01,0.4502,
2007-02,0.4465,
2007-03,0.4493,
2007-04,0.4477,
2007-05,0.4509,
2007-06,0.4602,
2007-07,0.4548,
2007-08,0.4413,
2007-09,0.4442,
2007-10,0.4447,
2007-11,0.4322,
2007-12,0.4321,
2008-01,0.4347,
2008-02,0.4377,
2008-03,0.4169,
2008-04,0.4214,
2008-05,0.4254,
2008-06,0.4187,
2008-07,0.4173,
2008-08,0.4209,
2008-09,0.4157,
2008-10,0.4274,
2008-11,0.4184,
2008-12,0.3966,
2009-01,0.4113,
2009-02,0.4140,
2009-03,0.4146,
2009-04,0.3364,comment
2009-05,0.3367,
2009-06,0.3398,
2009-07,0.3424,
2009-08,0.3440,
2009-09,0.3459,
2009-10,0.3484,
2009-11,0.3434,
2009-12,0.3556,
2010-01,0.3631,
2010-02,0.3712,
2010-03,0.3804,
2010-04,0.3881,
2010-05,0.3989,
2010-06,0.4044,
2010-07,0.3899,
2010-08,0.3992,
2010-09,0.3869,
2010-10,0.3827,
2010-11,0.4009,
2010-12,0.4071,
2011-01,0.3951,
2011-02,0.3922,
2011-03,0.3859,
2011-04,0.3812,
2011-05,0.3930,
2011-06,0.3904,
2011-07,0.4025,
2011-08,0.3941,
2011-09,0.3949,
2011-10,0.3989,
2011-11,0.4042,
2011-12,0.4184,
2012-01,0.4257,
2012-02,0.4192,
2012-03,0.4157,
2012-04,0.4198,
2012-05,0.4271,
2012-06,0.4344,
2012-07,0.4501,
2012-08,0.4379,
2012-09,0.4308,
2012-10,0.4267,
2012-11,0.4265,
2012-12,0.4172,
2013-01,0.4084,
2013-02,0.4170,
2013-03,0.4317,
2013-04,0.4216,
2013-05,0.4076,
2013-06,0.3993,
2013-07,0.3914,
2013-08,0.3875,
2013-09,0.3920,
2013-10,0.3873,
2013-11,0.3833,
2013-12,0.3754,
2014-01,0.3798,
2014-02,0.3807,
2014-03,0.3863,
2014-04,0.3843,
2014-05,0.3902,
2014-06,0.3933,
2014-07,0.3961,
2014-08,0.4015,
2014-09,0.3997,
2014-10,0.4047,
2014-11,0.4039,
2014-12,0.4075,
2015-01,0.4229,
2015-02,0.4301,
"","Source: Since May 2013: Bank South Pacific, Suva2006 - April 2013: Australia and New Zealand Banking Group (ANZ), Suva1999 - 2005: Westpac Banking Corporation, Suva",
"",Comment on 1999-01: Data on euro exchange rates are available from end-February 1999 onwards. The quoted value was calculated on the basis of the D-Mark exchange rate in conjunction with the euro exchange rate of EUR 1 = DEM 1.95583.,
"",Comment on 2006-11: Exchange rate as of 24 November 2006.,
"","Comment on 2009-04: On 15 April 2009, the Fiji dollar was devalued. We recorded the following exchange rates (buying/selling).  14 April 2009: FJD 1 = EUR 0.4346 / 0.4226  15 April 2009: FJD 1 = EUR 0.3496 / 0.3376  Calculated devaluation: 19.8% (middle rate).",
