"",BBK01.CEFY05,BBK01.CEFY05_FLAGS
"",Trade credits and advances                                    debtor: Total           creditor:  OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:48,
1999-01,1.3,
1999-04,1.5,
1999-07,1.8,
1999-10,2.1,
2000-01,1.9,
2000-04,1.8,
2000-07,1.6,
2000-10,1.5,
2001-01,1.5,
2001-04,1.5,
2001-07,1.5,
2001-10,1.5,
2002-01,1.8,
2002-04,2.1,
2002-07,2.4,
2002-10,2.8,
2003-01,2.5,
2003-04,2.2,
2003-07,1.9,
2003-10,1.6,
2004-01,1.8,
2004-04,2.1,
2004-07,2.4,
2004-10,2.7,
2005-01,2.7,
2005-04,2.7,
2005-07,2.7,
2005-10,2.8,
2006-01,2.8,
2006-04,2.9,
2006-07,2.9,
2006-10,3.0,
2007-01,3.0,
2007-04,2.9,
2007-07,2.9,
2007-10,2.9,
2008-01,2.8,
2008-04,2.7,
2008-07,2.6,
2008-10,2.5,
2009-01,2.3,
2009-04,2.1,
2009-07,2.0,
2009-10,1.8,
2010-01,1.6,
2010-04,1.4,
2010-07,1.2,
2010-10,1.1,
2011-01,1.1,
2011-04,1.1,
2011-07,1.1,
2011-10,1.2,
2012-01,1.2,
2012-04,1.2,
2012-07,1.2,
2012-10,1.2,
2013-01,1.2,
2013-04,1.2,
2013-07,1.2,
2013-10,1.2,
2014-01,1.2,
2014-04,1.2,
2014-07,1.2,
