"",BBK01.CEH00C,BBK01.CEH00C_FLAGS
"",Acquisition of financial assets debtor: All sectors                    creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:32,
1991-01,-6.6,
1991-04,9.1,
1991-07,-3.0,
1991-10,10.0,
1992-01,0.6,
1992-04,0.6,
1992-07,0.7,
1992-10,12.2,
1993-01,-0.1,
1993-04,14.0,
1993-07,-0.6,
1993-10,14.8,
1994-01,11.4,
1994-04,-0.4,
1994-07,-8.7,
1994-10,13.5,
1995-01,-22.7,
1995-04,6.1,
1995-07,-13.6,
1995-10,21.4,
1996-01,-7.9,
1996-04,-3.5,
1996-07,-0.8,
1996-10,11.4,
1997-01,-2.9,
1997-04,2.6,
1997-07,-7.1,
1997-10,3.4,
1998-01,-3.9,
1998-04,0.4,
1998-07,-10.4,
1998-10,-0.5,
1999-01,-6.6,
1999-04,5.7,
1999-07,-4.7,
1999-10,12.7,
2000-01,0.2,
2000-04,8.5,
2000-07,49.7,
2000-10,-20.4,
2001-01,-31.1,
2001-04,-4.7,
2001-07,-5.5,
2001-10,-7.9,
2002-01,-4.5,
2002-04,-8.1,
2002-07,-2.8,
2002-10,-9.2,
2003-01,6.3,
2003-04,2.0,
2003-07,-8.7,
2003-10,1.4,
2004-01,13.1,
2004-04,-5.6,
2004-07,-7.0,
2004-10,-13.0,
2005-01,0.2,
2005-04,-0.6,
2005-07,-1.6,
2005-10,-4.4,
2006-01,-0.3,
2006-04,10.3,
2006-07,4.5,
2006-10,-4.1,
2007-01,-1.2,
2007-04,31.8,
2007-07,-24.2,
2007-10,10.1,
2008-01,15.4,
2008-04,47.0,
2008-07,-7.6,
2008-10,14.3,
2009-01,18.4,
2009-04,58.2,
2009-07,-25.1,
2009-10,-15.7,
2010-01,-9.4,
2010-04,34.4,
2010-07,-30.6,
2010-10,189.4,
2011-01,-4.8,
2011-04,18.9,
2011-07,4.8,
2011-10,-10.1,
2012-01,27.5,
2012-04,58.3,
2012-07,4.2,
2012-10,-16.0,
2013-01,-10.9,
2013-04,9.8,
2013-07,-24.8,
2013-10,20.5,
2014-01,-7.9,
