"",BBK01.OEAD21L,BBK01.OEAD21L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:58,
2002-01,1.843,
2002-04,1.715,
2002-07,1.964,
2002-10,1.996,
2003-01,2.049,
2003-04,2.137,
2003-07,1.962,
2003-10,1.972,
2004-01,1.972,
2004-04,1.902,
2004-07,2.010,
2004-10,1.898,
2005-01,1.770,
2005-04,1.787,
2005-07,1.913,
2005-10,1.802,
2006-01,1.951,
2006-04,2.246,
2006-07,3.120,
2006-10,2.844,
2007-01,3.997,
2007-04,4.259,
2007-07,3.921,
2007-10,4.550,
2008-01,5.632,
2008-04,5.134,
2008-07,5.407,
2008-10,6.155,
2009-01,7.275,
2009-04,7.542,
2009-07,7.313,
2009-10,7.602,
2010-01,6.738,
2010-04,6.799,
2010-07,6.696,
2010-10,6.606,
2011-01,6.298,
2011-04,5.720,
2011-07,5.521,
2011-10,6.246,
2012-01,6.346,
2012-04,5.699,
2012-07,4.869,
2012-10,4.182,
2013-01,4.037,
2013-04,3.825,
2013-07,3.969,
2013-10,4.052,
2014-01,4.072,
2014-04,3.786,
2014-07,3.670,
