"",BBK01.OEAD39K,BBK01.OEAD39K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:50,
2002-01,0.135,
2002-04,0.134,
2002-07,0.141,
2002-10,0.128,
2003-01,0.108,
2003-04,0.099,
2003-07,0.100,
2003-10,0.089,
2004-01,0.084,
2004-04,0.102,
2004-07,0.078,
2004-10,0.077,
2005-01,0.096,
2005-04,0.086,
2005-07,0.085,
2005-10,0.083,
2006-01,0.087,
2006-04,0.088,
2006-07,0.091,
2006-10,0.101,
2007-01,0.093,
2007-04,0.094,
2007-07,0.092,
2007-10,0.086,
2008-01,0.098,
2008-04,0.103,
2008-07,0.095,
2008-10,0.105,
2009-01,0.046,
2009-04,0.046,
2009-07,0.047,
2009-10,0.043,
2010-01,0.048,
2010-04,0.053,
2010-07,0.054,
2010-10,0.055,
2011-01,0.051,
2011-04,0.052,
2011-07,0.052,
2011-10,0.052,
2012-01,0.047,
2012-04,0.048,
2012-07,0.047,
2012-10,0.043,
2013-01,0.043,
2013-04,0.041,
2013-07,0.038,
2013-10,0.038,
2014-01,0.039,
2014-04,0.038,
2014-07,0.041,
