"",BBK01.OEAD33N,BBK01.OEAD33N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:36,
2002-01,0.985,
2002-04,0.971,
2002-07,0.955,
2002-10,0.936,
2003-01,0.892,
2003-04,0.874,
2003-07,0.864,
2003-10,0.869,
2004-01,0.863,
2004-04,0.837,
2004-07,0.817,
2004-10,0.795,
2005-01,0.785,
2005-04,0.760,
2005-07,0.736,
2005-10,0.698,
2006-01,0.677,
2006-04,0.710,
2006-07,0.721,
2006-10,0.732,
2007-01,0.722,
2007-04,0.724,
2007-07,0.744,
2007-10,0.790,
2008-01,0.781,
2008-04,0.808,
2008-07,0.816,
2008-10,0.871,
2009-01,0.807,
2009-04,0.836,
2009-07,0.840,
2009-10,0.808,
2010-01,0.787,
2010-04,0.783,
2010-07,0.853,
2010-10,0.858,
2011-01,0.858,
2011-04,0.845,
2011-07,0.811,
2011-10,0.827,
2012-01,0.809,
2012-04,0.820,
2012-07,0.824,
2012-10,0.807,
2013-01,0.811,
2013-04,0.809,
2013-07,0.827,
2013-10,0.845,
2014-01,0.818,
2014-04,0.819,
2014-07,0.828,
