"",BBK01.OEAA11S,BBK01.OEAA11S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:58,
2002-01,2.357,
2002-04,2.365,
2002-07,2.471,
2002-10,2.308,
2003-01,2.131,
2003-04,2.187,
2003-07,2.187,
2003-10,2.176,
2004-01,2.067,
2004-04,2.105,
2004-07,2.125,
2004-10,2.093,
2005-01,2.181,
2005-04,2.000,
2005-07,2.091,
2005-10,1.947,
2006-01,1.976,
2006-04,1.983,
2006-07,1.966,
2006-10,1.767,
2007-01,1.895,
2007-04,1.886,
2007-07,1.747,
2007-10,1.786,
2008-01,1.842,
2008-04,1.758,
2008-07,1.683,
2008-10,1.640,
2009-01,1.655,
2009-04,1.699,
2009-07,1.739,
2009-10,1.604,
2010-01,1.673,
2010-04,1.642,
2010-07,1.658,
2010-10,1.602,
2011-01,1.609,
2011-04,1.629,
2011-07,1.584,
2011-10,1.629,
2012-01,1.633,
2012-04,1.568,
2012-07,1.481,
2012-10,1.430,
2013-01,1.432,
2013-04,1.478,
2013-07,1.457,
2013-10,1.428,
2014-01,1.440,
2014-04,1.513,
2014-07,1.508,
